input_file,α,sam_ratio,subs_rate,rs,total_oligos,total_reads,mean_coverage,oligo_recovery(seq),dropout(seq),oligo_recovery(decode),dropout(decode),GRAND_pass_oligos,GRAND_fail_oligos,GRAND_success_rate,chunks_recovered,total_chunks,data_recovery,decode_success,decode_time
lena.jpg,0.5,0.01,0.0035,,644,293,0.45,36.18,63.82,36.18,63.82,53,0,100.0,11,429,2.56,No,0.19
lena.jpg,0.5,0.01,0.0035,,644,290,0.45,35.56,64.44,35.25,64.75,65,2,97.01,13,429,3.03,No,0.65
lena.jpg,0.5,0.01,0.0035,,644,319,0.5,38.66,61.34,38.66,61.34,61,0,100.0,21,429,4.9,No,0.49
lena.jpg,0.5,0.01,0.0035,,644,360,0.56,41.46,58.54,41.46,58.54,62,0,100.0,5,429,1.17,No,0.25
lena.jpg,0.5,0.01,0.0035,,644,314,0.49,38.04,61.96,37.89,62.11,77,1,98.72,8,429,1.86,No,0.38
lena.jpg,0.5,0.01,0.0035,,644,614,0.95,60.71,39.29,60.56,39.44,94,1,98.95,35,429,8.16,No,0.6
lena.jpg,0.5,0.01,0.0035,,644,670,1.04,61.49,38.51,61.49,38.51,101,0,100.0,34,429,7.93,No,0.86
lena.jpg,0.5,0.01,0.0035,,644,666,1.03,62.58,37.42,62.42,37.58,115,1,99.14,58,429,13.52,No,0.72
lena.jpg,0.5,0.01,0.0035,,644,599,0.93,59.94,40.06,59.47,40.53,91,3,96.81,33,429,7.69,No,1.15
lena.jpg,0.5,0.01,0.0035,,644,619,0.96,59.16,40.84,58.54,41.46,94,4,95.92,63,429,14.69,No,1.52
lena.jpg,0.5,0.01,0.0035,,644,981,1.52,76.55,23.45,76.24,23.76,110,2,98.21,78,429,18.18,No,0.82
lena.jpg,0.5,0.01,0.0035,,644,983,1.53,74.84,25.16,74.84,25.16,108,0,100.0,32,429,7.46,No,0.66
lena.jpg,0.5,0.01,0.0035,,644,1002,1.56,77.17,22.83,76.71,23.29,111,3,97.37,45,429,10.49,No,0.8
lena.jpg,0.5,0.01,0.0035,,644,972,1.51,73.76,26.24,73.76,26.24,113,0,100.0,177,429,41.26,No,1.13
lena.jpg,0.5,0.01,0.0035,,644,968,1.5,71.74,28.26,71.58,28.42,102,1,99.03,81,429,18.88,No,0.91
lena.jpg,0.5,0.01,0.0035,,644,1258,1.95,81.21,18.79,81.06,18.94,103,1,99.04,194,429,45.22,No,0.86
lena.jpg,0.5,0.01,0.0035,,644,1274,1.98,84.16,15.84,78.73,21.27,108,3,97.3,429,429,100.0,Yes,0.72
lena.jpg,0.5,0.01,0.0035,,644,1330,2.07,83.54,16.46,83.23,16.77,114,2,98.28,240,429,55.94,No,0.89
lena.jpg,0.5,0.01,0.0035,,644,1334,2.07,82.3,17.7,81.99,18.01,93,2,97.89,265,429,61.77,No,0.78
lena.jpg,0.5,0.01,0.0035,,644,1343,2.09,84.01,15.99,80.9,19.1,117,2,98.32,429,429,100.0,Yes,1.04
lena.jpg,0.5,0.01,0.0035,,644,1617,2.51,89.29,10.71,80.12,19.88,114,0,100.0,429,429,100.0,Yes,0.38
lena.jpg,0.5,0.01,0.0035,,644,1634,2.54,88.35,11.65,85.87,14.13,100,3,97.09,429,429,100.0,Yes,0.84
lena.jpg,0.5,0.01,0.0035,,644,1584,2.46,87.42,12.58,79.5,20.5,98,0,100.0,429,429,100.0,Yes,1.03
lena.jpg,0.5,0.01,0.0035,,644,1611,2.5,88.04,11.96,82.3,17.7,117,2,98.32,429,429,100.0,Yes,0.87
