input_file,α,sam_ratio,subs_rate,rs,total_oligos,total_reads,mean_coverage,oligo_recovery(seq),dropout(seq),oligo_recovery(decode),dropout(decode),GRAND_pass_oligos,GRAND_fail_oligos,GRAND_success_rate,chunks_recovered,total_chunks,data_recovery,decode_success,decode_time
lena.jpg,0.5,0.01,0.0035,,644,314,0.49,36.96,63.04,33.54,66.46,42,22,65.62,11,429,2.56,No,0.73
lena.jpg,0.5,0.01,0.0035,,644,314,0.49,37.42,62.58,33.23,66.77,27,27,50.0,16,429,3.73,No,0.47
lena.jpg,0.5,0.01,0.0035,,644,315,0.49,36.49,63.51,32.14,67.86,31,28,52.54,8,429,1.86,No,0.37
lena.jpg,0.5,0.01,0.0035,,644,324,0.5,39.29,60.71,34.32,65.68,42,32,56.76,8,429,1.86,No,0.36
lena.jpg,0.5,0.01,0.0035,,644,325,0.5,39.91,60.09,35.87,64.13,45,26,63.38,14,429,3.26,No,0.32
lena.jpg,0.5,0.01,0.0035,,644,654,1.02,61.96,38.04,58.07,41.93,62,25,71.26,41,429,9.56,No,0.32
lena.jpg,0.5,0.01,0.0035,,644,639,0.99,60.87,39.13,52.95,47.05,60,51,54.05,8,429,1.86,No,0.45
lena.jpg,0.5,0.01,0.0035,,644,606,0.94,58.54,41.46,51.09,48.91,58,48,54.72,21,429,4.9,No,0.47
lena.jpg,0.5,0.01,0.0035,,644,657,1.02,61.96,38.04,55.28,44.72,54,43,55.67,31,429,7.23,No,0.44
lena.jpg,0.5,0.01,0.0035,,644,687,1.07,61.96,38.04,55.43,44.57,66,42,61.11,14,429,3.26,No,0.49
lena.jpg,0.5,0.01,0.0035,,644,1032,1.6,76.09,23.91,69.25,30.75,66,44,60.0,31,429,7.23,No,0.59
lena.jpg,0.5,0.01,0.0035,,644,989,1.54,75.47,24.53,67.86,32.14,63,49,56.25,68,429,15.85,No,0.51
lena.jpg,0.5,0.01,0.0035,,644,957,1.49,74.38,25.62,67.55,32.45,63,44,58.88,60,429,13.99,No,0.42
lena.jpg,0.5,0.01,0.0035,,644,923,1.43,72.36,27.64,64.13,35.87,61,53,53.51,21,429,4.9,No,0.46
lena.jpg,0.5,0.01,0.0035,,644,968,1.5,72.67,27.33,64.75,35.25,72,51,58.54,39,429,9.09,No,0.5
lena.jpg,0.5,0.01,0.0035,,644,1301,2.02,83.39,16.61,74.07,25.93,62,60,50.82,56,429,13.05,No,0.52
lena.jpg,0.5,0.01,0.0035,,644,1266,1.97,81.37,18.63,73.76,26.24,75,49,60.48,117,429,27.27,No,0.52
lena.jpg,0.5,0.01,0.0035,,644,1290,2.0,84.16,15.84,75.62,24.38,67,55,54.92,39,429,9.09,No,0.5
lena.jpg,0.5,0.01,0.0035,,644,1350,2.1,84.63,15.37,79.04,20.96,64,35,64.65,429,429,100.0,Yes,0.3
lena.jpg,0.5,0.01,0.0035,,644,1302,2.02,83.39,16.61,75.93,24.07,64,48,57.14,40,429,9.32,No,0.44
lena.jpg,0.5,0.01,0.0035,,644,1602,2.49,88.51,11.49,75.78,24.22,56,48,53.85,429,429,100.0,Yes,0.38
lena.jpg,0.5,0.01,0.0035,,644,1554,2.41,87.27,12.73,81.06,18.94,68,40,62.96,104,429,24.24,No,0.55
lena.jpg,0.5,0.01,0.0035,,644,1643,2.55,88.82,11.18,81.68,18.32,68,46,59.65,327,429,76.22,No,0.46
lena.jpg,0.5,0.01,0.0035,,644,1539,2.39,86.49,13.51,78.26,21.74,57,53,51.82,305,429,71.1,No,0.64
lena.jpg,0.5,0.01,0.0035,,644,1668,2.59,88.51,11.49,82.3,17.7,70,40,63.64,149,429,34.73,No,0.42
lena.jpg,0.5,0.01,0.0035,,644,1926,2.99,91.3,8.7,82.3,17.7,56,48,53.85,429,429,100.0,Yes,0.35
lena.jpg,0.5,0.01,0.0035,,644,1893,2.94,90.84,9.16,80.12,19.88,61,41,59.8,429,429,100.0,Yes,0.32
lena.jpg,0.5,0.01,0.0035,,644,1931,3.0,92.39,7.61,84.01,15.99,55,43,56.12,429,429,100.0,Yes,0.34
lena.jpg,0.5,0.01,0.0035,,644,1910,2.97,90.68,9.32,80.75,19.25,64,36,64.0,429,429,100.0,Yes,0.32
lena.jpg,0.5,0.01,0.0035,,644,1924,2.99,90.37,9.63,79.97,20.03,54,29,65.06,429,429,100.0,Yes,0.27
lena.jpg,0.5,0.01,0.0035,,644,2261,3.51,94.1,5.9,79.19,20.81,42,38,52.5,429,429,100.0,Yes,0.43
lena.jpg,0.5,0.01,0.0035,,644,2264,3.52,92.86,7.14,78.57,21.43,39,30,56.52,429,429,100.0,Yes,0.25
lena.jpg,0.5,0.01,0.0035,,644,2232,3.47,93.48,6.52,83.23,16.77,40,46,46.51,429,429,100.0,Yes,0.48
lena.jpg,0.5,0.01,0.0035,,644,2296,3.57,93.94,6.06,80.28,19.72,49,40,55.06,429,429,100.0,Yes,0.4
lena.jpg,0.5,0.01,0.0035,,644,2240,3.48,95.03,4.97,80.9,19.1,46,45,50.55,429,429,100.0,Yes,0.34
lena.jpg,0.5,0.01,0.0035,,644,2551,3.96,95.65,4.35,80.9,19.1,58,24,70.73,429,429,100.0,Yes,0.25
lena.jpg,0.5,0.01,0.0035,,644,2650,4.11,95.19,4.81,82.61,17.39,45,35,56.25,429,429,100.0,Yes,0.3
lena.jpg,0.5,0.01,0.0035,,644,2565,3.98,94.88,5.12,79.35,20.65,50,33,60.24,429,429,100.0,Yes,0.28
lena.jpg,0.5,0.01,0.0035,,644,2595,4.03,93.63,6.37,78.26,21.74,37,25,59.68,429,429,100.0,Yes,0.24
lena.jpg,0.5,0.01,0.0035,,644,2613,4.06,95.03,4.97,76.86,23.14,49,19,72.06,429,429,100.0,Yes,0.21
lena.jpg,0.5,0.01,0.0035,,644,2863,4.45,95.81,4.19,80.12,19.88,36,33,52.17,429,429,100.0,Yes,0.27
lena.jpg,0.5,0.01,0.0035,,644,2867,4.45,95.34,4.66,78.26,21.74,39,20,66.1,429,429,100.0,Yes,0.29
lena.jpg,0.5,0.01,0.0035,,644,2917,4.53,97.2,2.8,78.88,21.12,39,17,69.64,429,429,100.0,Yes,0.18
lena.jpg,0.5,0.01,0.0035,,644,2789,4.33,95.96,4.04,78.73,21.27,43,23,65.15,429,429,100.0,Yes,0.22
lena.jpg,0.5,0.01,0.0035,,644,2870,4.46,97.2,2.8,78.26,21.74,29,23,55.77,429,429,100.0,Yes,0.21
lena.jpg,0.5,0.01,0.0035,,644,3201,4.97,97.67,2.33,80.59,19.41,45,32,58.44,429,429,100.0,Yes,0.32
lena.jpg,0.5,0.01,0.0035,,644,3291,5.11,97.05,2.95,79.19,20.81,33,26,55.93,429,429,100.0,Yes,0.29
lena.jpg,0.5,0.01,0.0035,,644,3264,5.07,97.05,2.95,78.57,21.43,44,28,61.11,429,429,100.0,Yes,0.31
lena.jpg,0.5,0.01,0.0035,,644,3274,5.08,96.43,3.57,80.43,19.57,25,23,52.08,429,429,100.0,Yes,0.26
lena.jpg,0.5,0.01,0.0035,,644,3239,5.03,97.67,2.33,78.73,21.27,44,26,62.86,429,429,100.0,Yes,0.29
lena.jpg,0.5,0.01,0.0035,,644,3561,5.53,98.14,1.86,79.81,20.19,37,22,62.71,429,429,100.0,Yes,0.27
lena.jpg,0.5,0.01,0.0035,,644,3663,5.69,98.29,1.71,79.81,20.19,25,17,59.52,429,429,100.0,Yes,0.22
lena.jpg,0.5,0.01,0.0035,,644,3526,5.48,98.45,1.55,79.81,20.19,41,26,61.19,429,429,100.0,Yes,0.32
lena.jpg,0.5,0.01,0.0035,,644,3497,5.43,97.67,2.33,79.66,20.34,38,17,69.09,429,429,100.0,Yes,0.24
lena.jpg,0.5,0.01,0.0035,,644,3524,5.47,99.07,0.93,81.52,18.48,34,22,60.71,429,429,100.0,Yes,0.28
lena.jpg,0.5,0.01,0.0035,,644,3825,5.94,97.36,2.64,78.11,21.89,29,13,69.05,429,429,100.0,Yes,0.31
lena.jpg,0.5,0.01,0.0035,,644,3979,6.18,98.76,1.24,80.9,19.1,41,17,70.69,429,429,100.0,Yes,0.19
lena.jpg,0.5,0.01,0.0035,,644,3878,6.02,97.52,2.48,78.42,21.58,27,17,61.36,429,429,100.0,Yes,0.18
lena.jpg,0.5,0.01,0.0035,,644,3828,5.94,97.98,2.02,79.66,20.34,38,30,55.88,429,429,100.0,Yes,0.24
lena.jpg,0.5,0.01,0.0035,,644,3816,5.93,98.14,1.86,79.81,20.19,21,22,48.84,429,429,100.0,Yes,0.2
lena.jpg,0.5,0.01,0.0035,,644,4164,6.47,99.22,0.78,78.88,21.12,40,21,65.57,429,429,100.0,Yes,0.31
lena.jpg,0.5,0.01,0.0035,,644,4223,6.56,98.91,1.09,79.97,20.03,33,18,64.71,429,429,100.0,Yes,0.19
lena.jpg,0.5,0.01,0.0035,,644,4190,6.51,99.53,0.47,77.95,22.05,29,25,53.7,429,429,100.0,Yes,0.25
lena.jpg,0.5,0.01,0.0035,,644,4219,6.55,98.45,1.55,81.83,18.17,38,23,62.3,429,429,100.0,Yes,0.21
lena.jpg,0.5,0.01,0.0035,,644,4155,6.45,98.6,1.4,77.8,22.2,28,24,53.85,429,429,100.0,Yes,0.22
lena.jpg,0.5,0.01,0.0035,,644,4549,7.06,99.07,0.93,79.66,20.34,21,15,58.33,429,429,100.0,Yes,0.18
lena.jpg,0.5,0.01,0.0035,,644,4456,6.92,98.76,1.24,80.43,19.57,32,15,68.09,429,429,100.0,Yes,0.17
lena.jpg,0.5,0.01,0.0035,,644,4446,6.9,98.76,1.24,79.97,20.03,29,10,74.36,429,429,100.0,Yes,0.22
lena.jpg,0.5,0.01,0.0035,,644,4453,6.91,99.22,0.78,79.35,20.65,18,18,50.0,429,429,100.0,Yes,0.2
lena.jpg,0.5,0.01,0.0035,,644,4553,7.07,99.38,0.62,79.19,20.81,31,19,62.0,429,429,100.0,Yes,0.28
lena.jpg,0.5,0.01,0.0035,,644,4843,7.52,98.76,1.24,79.5,20.5,30,15,66.67,429,429,100.0,Yes,0.18
lena.jpg,0.5,0.01,0.0035,,644,4909,7.62,99.22,0.78,79.19,20.81,12,19,38.71,429,429,100.0,Yes,0.19
lena.jpg,0.5,0.01,0.0035,,644,4793,7.44,99.38,0.62,83.23,16.77,27,20,57.45,429,429,100.0,Yes,0.22
lena.jpg,0.5,0.01,0.0035,,644,4821,7.49,98.91,1.09,80.75,19.25,24,14,63.16,429,429,100.0,Yes,0.18
lena.jpg,0.5,0.01,0.0035,,644,4873,7.57,99.53,0.47,79.66,20.34,25,10,71.43,429,429,100.0,Yes,0.15
lena.jpg,0.5,0.01,0.0035,,644,5190,8.06,98.45,1.55,81.68,18.32,20,15,57.14,429,429,100.0,Yes,0.17
lena.jpg,0.5,0.01,0.0035,,644,5089,7.9,98.91,1.09,78.88,21.12,20,11,64.52,429,429,100.0,Yes,0.15
lena.jpg,0.5,0.01,0.0035,,644,5224,8.11,99.22,0.78,80.75,19.25,25,10,71.43,429,429,100.0,Yes,0.16
lena.jpg,0.5,0.01,0.0035,,644,5233,8.13,99.07,0.93,81.06,18.94,29,7,80.56,429,429,100.0,Yes,0.12
lena.jpg,0.5,0.01,0.0035,,644,5148,7.99,99.07,0.93,79.5,20.5,25,16,60.98,429,429,100.0,Yes,0.19
lena.jpg,0.5,0.01,0.0035,,644,5478,8.51,98.76,1.24,78.57,21.43,21,20,51.22,429,429,100.0,Yes,0.2
lena.jpg,0.5,0.01,0.0035,,644,5361,8.32,98.76,1.24,78.11,21.89,24,12,66.67,429,429,100.0,Yes,0.14
lena.jpg,0.5,0.01,0.0035,,644,5517,8.57,99.22,0.78,79.35,20.65,20,18,52.63,429,429,100.0,Yes,0.16
lena.jpg,0.5,0.01,0.0035,,644,5528,8.58,98.76,1.24,79.35,20.65,25,19,56.82,429,429,100.0,Yes,0.18
lena.jpg,0.5,0.01,0.0035,,644,5530,8.59,100.0,0.0,79.04,20.96,19,9,67.86,429,429,100.0,Yes,0.12
lena.jpg,0.5,0.01,0.0035,,644,5818,9.03,99.69,0.31,80.12,19.88,25,16,60.98,429,429,100.0,Yes,0.16
lena.jpg,0.5,0.01,0.0035,,644,5796,9.0,99.38,0.62,79.97,20.03,20,13,60.61,429,429,100.0,Yes,0.14
lena.jpg,0.5,0.01,0.0035,,644,5829,9.05,99.69,0.31,83.7,16.3,23,12,65.71,429,429,100.0,Yes,0.14
lena.jpg,0.5,0.01,0.0035,,644,5779,8.97,99.53,0.47,81.06,18.94,21,17,55.26,429,429,100.0,Yes,0.16
lena.jpg,0.5,0.01,0.0035,,644,5862,9.1,99.53,0.47,79.66,20.34,20,10,66.67,429,429,100.0,Yes,0.14
lena.jpg,0.5,0.01,0.0035,,644,6063,9.41,99.69,0.31,80.43,19.57,19,13,59.38,429,429,100.0,Yes,0.15
lena.jpg,0.5,0.01,0.0035,,644,5953,9.24,99.53,0.47,79.81,20.19,21,15,58.33,429,429,100.0,Yes,0.15
lena.jpg,0.5,0.01,0.0035,,644,6171,9.58,99.38,0.62,79.04,20.96,14,13,51.85,429,429,100.0,Yes,0.14
lena.jpg,0.5,0.01,0.0035,,644,6148,9.55,99.53,0.47,84.63,15.37,16,11,59.26,429,429,100.0,Yes,0.14
lena.jpg,0.5,0.01,0.0035,,644,6044,9.39,99.22,0.78,80.28,19.72,20,6,76.92,429,429,100.0,Yes,0.12
lena.jpg,0.5,0.01,0.0035,,644,6399,9.94,99.69,0.31,79.5,20.5,14,5,73.68,429,429,100.0,Yes,0.11
lena.jpg,0.5,0.01,0.0035,,644,6592,10.24,100.0,0.0,81.52,18.48,23,7,76.67,429,429,100.0,Yes,0.12
lena.jpg,0.5,0.01,0.0035,,644,6437,10.0,99.38,0.62,79.35,20.65,16,18,47.06,429,429,100.0,Yes,0.17
lena.jpg,0.5,0.01,0.0035,,644,6479,10.06,99.53,0.47,79.5,20.5,19,10,65.52,429,429,100.0,Yes,0.13
lena.jpg,0.5,0.01,0.0035,,644,6347,9.86,99.53,0.47,79.19,20.81,17,10,62.96,429,429,100.0,Yes,0.14
