input_file,α,sam_ratio,subs_rate,rs,total_oligos,total_reads,mean_coverage,oligo_recovery(seq),dropout(seq),oligo_recovery(decode),dropout(decode),GRAND_pass_oligos,GRAND_fail_oligos,GRAND_success_rate,chunks_recovered,total_chunks,data_recovery,decode_success,decode_time
lena.jpg,0.5,0.01,0.0035,,644,315,0.49,38.82,61.18,38.51,61.49,69,2,97.18,11,429,2.56,No,0.87
lena.jpg,0.5,0.01,0.0035,,644,337,0.52,38.82,61.18,38.82,61.18,73,0,100.0,12,429,2.8,No,0.3
lena.jpg,0.5,0.01,0.0035,,644,309,0.48,36.96,63.04,36.65,63.35,59,2,96.72,14,429,3.26,No,0.84
lena.jpg,0.5,0.01,0.0035,,644,301,0.47,36.49,63.51,36.02,63.98,69,3,95.83,10,429,2.33,No,0.92
lena.jpg,0.5,0.01,0.0035,,644,294,0.46,34.01,65.99,33.7,66.3,62,2,96.88,9,429,2.1,No,0.68
lena.jpg,0.5,0.01,0.0035,,644,658,1.02,60.71,39.29,60.25,39.75,110,3,97.35,15,429,3.5,No,1.07
lena.jpg,0.5,0.01,0.0035,,644,634,0.98,61.02,38.98,60.56,39.44,104,3,97.2,34,429,7.93,No,0.98
lena.jpg,0.5,0.01,0.0035,,644,604,0.94,59.16,40.84,58.7,41.3,109,3,97.32,31,429,7.23,No,1.0
lena.jpg,0.5,0.01,0.0035,,644,657,1.02,61.49,38.51,61.49,38.51,81,0,100.0,26,429,6.06,No,0.51
lena.jpg,0.5,0.01,0.0035,,644,663,1.03,62.89,37.11,62.73,37.27,104,1,99.05,107,429,24.94,No,0.67
lena.jpg,0.5,0.01,0.0035,,644,982,1.52,74.53,25.47,74.53,25.47,105,0,100.0,169,429,39.39,No,0.53
lena.jpg,0.5,0.01,0.0035,,644,976,1.52,75.0,25.0,74.84,25.16,112,1,99.12,33,429,7.69,No,1.19
lena.jpg,0.5,0.01,0.0035,,644,967,1.5,73.76,26.24,73.29,26.71,111,3,97.37,120,429,27.97,No,0.87
lena.jpg,0.5,0.01,0.0035,,644,1002,1.56,74.07,25.93,73.45,26.55,111,4,96.52,28,429,6.53,No,1.12
lena.jpg,0.5,0.01,0.0035,,644,1000,1.55,76.09,23.91,76.09,23.91,99,0,100.0,160,429,37.3,No,0.5
lena.jpg,0.5,0.01,0.0035,,644,1261,1.96,81.21,18.79,81.06,18.94,120,0,100.0,429,429,100.0,Yes,0.36
lena.jpg,0.5,0.01,0.0035,,644,1256,1.95,81.99,18.01,81.06,18.94,122,2,98.39,429,429,100.0,Yes,0.68
lena.jpg,0.5,0.01,0.0035,,644,1255,1.95,80.28,19.72,78.73,21.27,116,4,96.67,429,429,100.0,Yes,0.91
lena.jpg,0.5,0.01,0.0035,,644,1299,2.02,81.21,18.79,79.35,20.65,123,1,99.19,429,429,100.0,Yes,0.64
lena.jpg,0.5,0.01,0.0035,,644,1248,1.94,82.3,17.7,79.19,20.81,112,0,100.0,429,429,100.0,Yes,0.53
lena.jpg,0.5,0.01,0.0035,,644,1652,2.57,86.02,13.98,77.95,22.05,89,2,97.8,429,429,100.0,Yes,0.58
lena.jpg,0.5,0.01,0.0035,,644,1579,2.45,89.91,10.09,77.48,22.52,106,2,98.15,429,429,100.0,Yes,0.96
lena.jpg,0.5,0.01,0.0035,,644,1591,2.47,87.27,12.73,85.25,14.75,110,4,96.49,429,429,100.0,Yes,1.39
lena.jpg,0.5,0.01,0.0035,,644,1616,2.51,88.35,11.65,83.23,16.77,96,0,100.0,429,429,100.0,Yes,0.54
lena.jpg,0.5,0.01,0.0035,,644,1590,2.47,83.85,16.15,79.5,20.5,90,1,98.9,429,429,100.0,Yes,0.7
lena.jpg,0.5,0.01,0.0035,,644,1970,3.06,91.93,8.07,78.88,21.12,98,2,98.0,429,429,100.0,Yes,0.71
lena.jpg,0.5,0.01,0.0035,,644,1943,3.02,91.61,8.39,81.68,18.32,94,1,98.95,429,429,100.0,Yes,0.82
lena.jpg,0.5,0.01,0.0035,,644,1922,2.98,91.61,8.39,78.42,21.58,92,0,100.0,429,429,100.0,Yes,0.82
lena.jpg,0.5,0.01,0.0035,,644,1929,3.0,91.61,8.39,84.01,15.99,97,2,97.98,429,429,100.0,Yes,0.9
lena.jpg,0.5,0.01,0.0035,,644,1962,3.05,92.7,7.3,79.04,20.96,81,1,98.78,429,429,100.0,Yes,0.59
lena.jpg,0.5,0.01,0.0035,,644,2270,3.52,94.1,5.9,81.06,18.94,70,2,97.22,429,429,100.0,Yes,0.86
lena.jpg,0.5,0.01,0.0035,,644,2187,3.4,93.01,6.99,80.43,19.57,83,1,98.81,429,429,100.0,Yes,0.65
lena.jpg,0.5,0.01,0.0035,,644,2277,3.54,93.01,6.99,80.75,19.25,78,0,100.0,429,429,100.0,Yes,0.23
lena.jpg,0.5,0.01,0.0035,,644,2209,3.43,93.17,6.83,81.99,18.01,93,3,96.88,429,429,100.0,Yes,0.96
lena.jpg,0.5,0.01,0.0035,,644,2264,3.52,92.08,7.92,79.5,20.5,64,1,98.46,429,429,100.0,Yes,0.53
lena.jpg,0.5,0.01,0.0035,,644,2552,3.96,97.67,2.33,80.59,19.41,69,2,97.18,429,429,100.0,Yes,0.75
lena.jpg,0.5,0.01,0.0035,,644,2570,3.99,95.65,4.35,78.88,21.12,77,0,100.0,429,429,100.0,Yes,0.28
lena.jpg,0.5,0.01,0.0035,,644,2574,4.0,95.96,4.04,79.66,20.34,79,1,98.75,429,429,100.0,Yes,0.73
lena.jpg,0.5,0.01,0.0035,,644,2552,3.96,95.5,4.5,80.12,19.88,58,0,100.0,429,429,100.0,Yes,0.26
lena.jpg,0.5,0.01,0.0035,,644,2586,4.02,94.88,5.12,80.75,19.25,69,0,100.0,429,429,100.0,Yes,0.15
lena.jpg,0.5,0.01,0.0035,,644,2903,4.51,95.96,4.04,78.42,21.58,73,0,100.0,429,429,100.0,Yes,0.49
lena.jpg,0.5,0.01,0.0035,,644,2831,4.4,95.81,4.19,81.99,18.01,60,1,98.36,429,429,100.0,Yes,0.55
lena.jpg,0.5,0.01,0.0035,,644,2869,4.45,95.96,4.04,81.68,18.32,69,1,98.57,429,429,100.0,Yes,0.61
lena.jpg,0.5,0.01,0.0035,,644,2925,4.54,96.58,3.42,79.5,20.5,66,2,97.06,429,429,100.0,Yes,0.55
lena.jpg,0.5,0.01,0.0035,,644,2911,4.52,96.74,3.26,80.28,19.72,59,0,100.0,429,429,100.0,Yes,0.47
lena.jpg,0.5,0.01,0.0035,,644,3135,4.87,97.98,2.02,81.21,18.79,61,0,100.0,429,429,100.0,Yes,0.26
lena.jpg,0.5,0.01,0.0035,,644,3270,5.08,97.83,2.17,80.9,19.1,58,0,100.0,429,429,100.0,Yes,0.18
lena.jpg,0.5,0.01,0.0035,,644,3200,4.97,98.6,1.4,79.35,20.65,53,0,100.0,429,429,100.0,Yes,0.2
lena.jpg,0.5,0.01,0.0035,,644,3150,4.89,96.74,3.26,80.28,19.72,67,0,100.0,429,429,100.0,Yes,0.43
lena.jpg,0.5,0.01,0.0035,,644,3129,4.86,96.89,3.11,79.81,20.19,62,1,98.41,429,429,100.0,Yes,0.46
lena.jpg,0.5,0.01,0.0035,,644,3665,5.69,99.22,0.78,79.66,20.34,55,0,100.0,429,429,100.0,Yes,0.18
lena.jpg,0.5,0.01,0.0035,,644,3507,5.45,97.52,2.48,86.8,13.2,56,0,100.0,429,429,100.0,Yes,0.34
lena.jpg,0.5,0.01,0.0035,,644,3532,5.48,98.45,1.55,79.97,20.03,64,1,98.46,429,429,100.0,Yes,0.66
lena.jpg,0.5,0.01,0.0035,,644,3655,5.68,97.83,2.17,79.5,20.5,42,1,97.67,429,429,100.0,Yes,0.39
lena.jpg,0.5,0.01,0.0035,,644,3589,5.57,99.22,0.78,81.83,18.17,53,2,96.36,429,429,100.0,Yes,0.55
lena.jpg,0.5,0.01,0.0035,,644,3870,6.01,98.91,1.09,80.59,19.41,53,0,100.0,429,429,100.0,Yes,0.31
lena.jpg,0.5,0.01,0.0035,,644,3849,5.98,97.98,2.02,78.57,21.43,42,1,97.67,429,429,100.0,Yes,0.36
lena.jpg,0.5,0.01,0.0035,,644,3832,5.95,97.83,2.17,82.61,17.39,57,1,98.28,429,429,100.0,Yes,0.43
lena.jpg,0.5,0.01,0.0035,,644,3868,6.01,98.14,1.86,81.21,18.79,45,0,100.0,429,429,100.0,Yes,0.4
lena.jpg,0.5,0.01,0.0035,,644,3856,5.99,98.14,1.86,81.83,18.17,48,1,97.96,429,429,100.0,Yes,0.41
lena.jpg,0.5,0.01,0.0035,,644,4258,6.61,98.6,1.4,79.35,20.65,47,0,100.0,429,429,100.0,Yes,0.23
lena.jpg,0.5,0.01,0.0035,,644,4209,6.54,98.76,1.24,81.06,18.94,39,2,95.12,429,429,100.0,Yes,0.57
lena.jpg,0.5,0.01,0.0035,,644,4217,6.55,98.14,1.86,79.19,20.81,50,0,100.0,429,429,100.0,Yes,0.26
lena.jpg,0.5,0.01,0.0035,,644,4181,6.49,98.91,1.09,80.12,19.88,39,0,100.0,429,429,100.0,Yes,0.4
lena.jpg,0.5,0.01,0.0035,,644,4127,6.41,98.29,1.71,81.21,18.79,49,1,98.0,429,429,100.0,Yes,0.67
lena.jpg,0.5,0.01,0.0035,,644,4551,7.07,98.45,1.55,81.06,18.94,26,2,92.86,429,429,100.0,Yes,0.63
lena.jpg,0.5,0.01,0.0035,,644,4481,6.96,98.91,1.09,81.68,18.32,39,0,100.0,429,429,100.0,Yes,0.24
lena.jpg,0.5,0.01,0.0035,,644,4464,6.93,98.91,1.09,79.81,20.19,47,0,100.0,429,429,100.0,Yes,0.43
lena.jpg,0.5,0.01,0.0035,,644,4568,7.09,98.14,1.86,80.9,19.1,38,0,100.0,429,429,100.0,Yes,0.28
lena.jpg,0.5,0.01,0.0035,,644,4477,6.95,99.53,0.47,80.12,19.88,39,0,100.0,429,429,100.0,Yes,0.2
lena.jpg,0.5,0.01,0.0035,,644,4888,7.59,99.38,0.62,81.37,18.63,39,1,97.5,429,429,100.0,Yes,0.35
lena.jpg,0.5,0.01,0.0035,,644,4903,7.61,99.22,0.78,79.66,20.34,38,1,97.44,429,429,100.0,Yes,0.5
lena.jpg,0.5,0.01,0.0035,,644,4839,7.51,98.76,1.24,79.35,20.65,46,0,100.0,429,429,100.0,Yes,0.3
lena.jpg,0.5,0.01,0.0035,,644,4806,7.46,99.07,0.93,79.66,20.34,26,1,96.3,429,429,100.0,Yes,0.26
lena.jpg,0.5,0.01,0.0035,,644,4856,7.54,98.45,1.55,80.43,19.57,29,1,96.67,429,429,100.0,Yes,0.34
lena.jpg,0.5,0.01,0.0035,,644,5121,7.95,98.45,1.55,81.52,18.48,33,0,100.0,429,429,100.0,Yes,0.12
lena.jpg,0.5,0.01,0.0035,,644,5100,7.92,98.91,1.09,80.59,19.41,35,0,100.0,429,429,100.0,Yes,0.18
lena.jpg,0.5,0.01,0.0035,,644,5181,8.05,99.53,0.47,82.3,17.7,34,0,100.0,429,429,100.0,Yes,0.14
lena.jpg,0.5,0.01,0.0035,,644,5238,8.13,99.38,0.62,79.97,20.03,37,0,100.0,429,429,100.0,Yes,0.33
lena.jpg,0.5,0.01,0.0035,,644,5096,7.91,98.76,1.24,80.12,19.88,36,0,100.0,429,429,100.0,Yes,0.13
lena.jpg,0.5,0.01,0.0035,,644,5368,8.34,99.38,0.62,79.5,20.5,41,2,95.35,429,429,100.0,Yes,0.56
