input_file,α,sam_ratio,subs_rate,rs,total_oligos,total_reads,mean_coverage,oligo_recovery(seq),dropout(seq),oligo_recovery(decode),dropout(decode),GRAND_pass_oligos,GRAND_fail_oligos,GRAND_success_rate,chunks_recovered,total_chunks,data_recovery,decode_success,decode_time
lena.jpg,0.5,0.01,0.0035,,644,310,0.48,36.49,63.51,33.23,66.77,35,21,62.5,10,429,2.33,No,0.61
lena.jpg,0.5,0.01,0.0035,,644,318,0.49,38.2,61.8,33.23,66.77,41,32,56.16,13,429,3.03,No,0.37
lena.jpg,0.5,0.01,0.0035,,644,350,0.54,39.29,60.71,34.94,65.06,46,28,62.16,6,429,1.4,No,0.25
lena.jpg,0.5,0.01,0.0035,,644,318,0.49,37.58,62.42,32.76,67.24,36,31,53.73,13,429,3.03,No,0.26
lena.jpg,0.5,0.01,0.0035,,644,318,0.49,36.96,63.04,34.16,65.84,37,18,67.27,12,429,2.8,No,0.21
lena.jpg,0.5,0.01,0.0035,,644,628,0.98,63.2,36.8,56.99,43.01,65,40,61.9,18,429,4.2,No,0.31
lena.jpg,0.5,0.01,0.0035,,644,621,0.96,60.87,39.13,54.5,45.5,43,41,51.19,26,429,6.06,No,0.3
lena.jpg,0.5,0.01,0.0035,,644,667,1.04,63.2,36.8,56.06,43.94,67,46,59.29,42,429,9.79,No,0.38
lena.jpg,0.5,0.01,0.0035,,644,615,0.95,58.85,41.15,54.35,45.65,61,29,67.78,16,429,3.73,No,0.29
lena.jpg,0.5,0.01,0.0035,,644,620,0.96,58.54,41.46,52.33,47.67,61,40,60.4,33,429,7.69,No,0.38
lena.jpg,0.5,0.01,0.0035,,644,978,1.52,75.16,24.84,68.63,31.37,62,42,59.62,31,429,7.23,No,0.45
lena.jpg,0.5,0.01,0.0035,,644,990,1.54,75.47,24.53,68.17,31.83,82,47,63.57,91,429,21.21,No,0.4
lena.jpg,0.5,0.01,0.0035,,644,915,1.42,72.98,27.02,66.46,33.54,58,42,58.0,89,429,20.75,No,0.34
lena.jpg,0.5,0.01,0.0035,,644,999,1.55,73.76,26.24,64.91,35.09,63,57,52.5,19,429,4.43,No,0.41
lena.jpg,0.5,0.01,0.0035,,644,932,1.45,72.2,27.8,64.44,35.56,67,50,57.26,30,429,6.99,No,0.44
lena.jpg,0.5,0.01,0.0035,,644,1264,1.96,82.61,17.39,75.0,25.0,80,49,62.02,199,429,46.39,No,0.82
lena.jpg,0.5,0.01,0.0035,,644,1328,2.06,84.16,15.84,76.4,23.6,66,50,56.9,214,429,49.88,No,0.55
lena.jpg,0.5,0.01,0.0035,,644,1289,2.0,83.39,16.61,75.47,24.53,76,51,59.84,150,429,34.97,No,0.67
lena.jpg,0.5,0.01,0.0035,,644,1288,2.0,82.92,17.08,76.24,23.76,72,43,62.61,170,429,39.63,No,0.45
lena.jpg,0.5,0.01,0.0035,,644,1285,2.0,83.23,16.77,76.71,23.29,69,42,62.16,230,429,53.61,No,0.44
lena.jpg,0.5,0.01,0.0035,,644,1656,2.57,88.82,11.18,81.99,18.01,61,39,61.0,429,429,100.0,Yes,0.33
lena.jpg,0.5,0.01,0.0035,,644,1581,2.45,88.35,11.65,79.97,20.03,58,54,51.79,225,429,52.45,No,0.52
lena.jpg,0.5,0.01,0.0035,,644,1578,2.45,88.04,11.96,81.37,18.63,62,43,59.05,219,429,51.05,No,0.49
lena.jpg,0.5,0.01,0.0035,,644,1580,2.45,87.42,12.58,80.75,19.25,70,43,61.95,154,429,35.9,No,0.45
lena.jpg,0.5,0.01,0.0035,,644,1624,2.52,89.6,10.4,78.88,21.12,67,49,57.76,429,429,100.0,Yes,0.38
