input_file,α,sam_ratio,subs_rate,rs,total_oligos,total_reads,mean_coverage,oligo_recovery(seq),dropout(seq),oligo_recovery(decode),dropout(decode),GRAND_pass_oligos,GRAND_fail_oligos,GRAND_success_rate,chunks_recovered,total_chunks,data_recovery,decode_success,decode_time
lena.jpg,0.5,0.01,0.0035,,644,347,0.54,41.15,58.85,40.53,59.47,78,4,95.12,23,429,5.36,No,2.85
lena.jpg,0.5,0.01,0.0035,,644,317,0.49,37.58,62.42,36.18,63.82,63,9,87.5,3,429,0.7,No,3.17
lena.jpg,0.5,0.01,0.0035,,644,351,0.55,41.77,58.23,40.22,59.78,64,10,86.49,7,429,1.63,No,4.68
lena.jpg,0.5,0.01,0.0035,,644,276,0.43,34.94,65.06,33.39,66.61,49,10,83.05,14,429,3.26,No,2.95
lena.jpg,0.5,0.01,0.0035,,644,335,0.52,38.2,61.8,37.73,62.27,68,3,95.77,8,429,1.86,No,3.03
lena.jpg,0.5,0.01,0.0035,,644,626,0.97,60.4,39.6,58.85,41.15,92,10,90.2,30,429,6.99,No,5.0
lena.jpg,0.5,0.01,0.0035,,644,623,0.97,61.02,38.98,59.32,40.68,89,11,89.0,19,429,4.43,No,5.07
lena.jpg,0.5,0.01,0.0035,,644,623,0.97,59.47,40.53,57.92,42.08,99,10,90.83,23,429,5.36,No,4.81
lena.jpg,0.5,0.01,0.0035,,644,626,0.97,59.94,40.06,59.01,40.99,90,6,93.75,14,429,3.26,No,3.93
lena.jpg,0.5,0.01,0.0035,,644,626,0.97,59.32,40.68,58.07,41.93,88,8,91.67,48,429,11.19,No,4.29
lena.jpg,0.5,0.01,0.0035,,644,975,1.51,74.84,25.16,72.98,27.02,109,12,90.08,171,429,39.86,No,5.0
lena.jpg,0.5,0.01,0.0035,,644,974,1.51,74.38,25.62,72.67,27.33,113,11,91.13,117,429,27.27,No,5.56
lena.jpg,0.5,0.01,0.0035,,644,941,1.46,73.14,26.86,72.05,27.95,105,7,93.75,134,429,31.24,No,5.16
lena.jpg,0.5,0.01,0.0035,,644,939,1.46,74.38,25.62,72.83,27.17,123,10,92.48,70,429,16.32,No,4.78
lena.jpg,0.5,0.01,0.0035,,644,1000,1.55,75.47,24.53,73.76,26.24,107,11,90.68,129,429,30.07,No,4.33
lena.jpg,0.5,0.01,0.0035,,644,1288,2.0,81.37,18.63,79.66,20.34,96,11,89.72,429,429,100.0,Yes,5.91
lena.jpg,0.5,0.01,0.0035,,644,1252,1.94,79.81,20.19,77.8,22.2,90,13,87.38,310,429,72.26,No,5.38
lena.jpg,0.5,0.01,0.0035,,644,1305,2.03,82.92,17.08,81.06,18.94,91,12,88.35,99,429,23.08,No,4.76
lena.jpg,0.5,0.01,0.0035,,644,1266,1.97,82.45,17.55,81.68,18.32,103,5,95.37,155,429,36.13,No,4.44
lena.jpg,0.5,0.01,0.0035,,644,1345,2.09,82.3,17.7,79.5,20.5,95,7,93.14,429,429,100.0,Yes,4.94
lena.jpg,0.5,0.01,0.0035,,644,1650,2.56,87.73,12.27,78.57,21.43,81,7,92.05,429,429,100.0,Yes,3.76
lena.jpg,0.5,0.01,0.0035,,644,1601,2.49,88.51,11.49,81.21,18.79,80,9,89.89,429,429,100.0,Yes,3.88
lena.jpg,0.5,0.01,0.0035,,644,1562,2.43,88.35,11.65,81.52,18.48,104,12,89.66,429,429,100.0,Yes,5.52
lena.jpg,0.5,0.01,0.0035,,644,1620,2.52,86.49,13.51,78.11,21.89,78,9,89.66,429,429,100.0,Yes,4.78
lena.jpg,0.5,0.01,0.0035,,644,1580,2.45,87.42,12.58,81.06,18.94,94,12,88.68,429,429,100.0,Yes,5.32
lena.jpg,0.5,0.01,0.0035,,644,1961,3.05,91.93,8.07,85.25,14.75,84,9,90.32,429,429,100.0,Yes,3.51
lena.jpg,0.5,0.01,0.0035,,644,1928,2.99,93.32,6.68,78.26,21.74,85,8,91.4,429,429,100.0,Yes,3.98
lena.jpg,0.5,0.01,0.0035,,644,1968,3.06,91.15,8.85,79.35,20.65,66,4,94.29,429,429,100.0,Yes,3.45
lena.jpg,0.5,0.01,0.0035,,644,1951,3.03,93.79,6.21,80.12,19.88,92,8,92.0,429,429,100.0,Yes,5.48
lena.jpg,0.5,0.01,0.0035,,644,1891,2.94,90.53,9.47,81.37,18.63,84,9,90.32,429,429,100.0,Yes,4.91
lena.jpg,0.5,0.01,0.0035,,644,2358,3.66,94.1,5.9,80.75,19.25,75,6,92.59,429,429,100.0,Yes,5.46
lena.jpg,0.5,0.01,0.0035,,644,2262,3.51,92.55,7.45,84.32,15.68,77,7,91.67,429,429,100.0,Yes,3.49
lena.jpg,0.5,0.01,0.0035,,644,2318,3.6,93.94,6.06,79.35,20.65,70,7,90.91,429,429,100.0,Yes,2.65
lena.jpg,0.5,0.01,0.0035,,644,2267,3.52,93.79,6.21,78.11,21.89,86,6,93.48,429,429,100.0,Yes,4.51
lena.jpg,0.5,0.01,0.0035,,644,2307,3.58,94.1,5.9,85.56,14.44,85,4,95.51,429,429,100.0,Yes,3.23
lena.jpg,0.5,0.01,0.0035,,644,2561,3.98,95.34,4.66,82.45,17.55,74,6,92.5,429,429,100.0,Yes,3.83
lena.jpg,0.5,0.01,0.0035,,644,2515,3.91,95.19,4.81,80.43,19.57,51,5,91.07,429,429,100.0,Yes,2.8
lena.jpg,0.5,0.01,0.0035,,644,2624,4.07,96.58,3.42,80.28,19.72,60,4,93.75,429,429,100.0,Yes,2.67
lena.jpg,0.5,0.01,0.0035,,644,2588,4.02,95.65,4.35,80.9,19.1,71,5,93.42,429,429,100.0,Yes,3.35
lena.jpg,0.5,0.01,0.0035,,644,2572,3.99,95.81,4.19,79.66,20.34,72,5,93.51,429,429,100.0,Yes,3.85
lena.jpg,0.5,0.01,0.0035,,644,2971,4.61,97.2,2.8,77.8,22.2,58,6,90.62,429,429,100.0,Yes,2.5
lena.jpg,0.5,0.01,0.0035,,644,2846,4.42,95.5,4.5,80.43,19.57,53,7,88.33,429,429,100.0,Yes,2.98
lena.jpg,0.5,0.01,0.0035,,644,2947,4.58,97.52,2.48,81.06,18.94,60,7,89.55,429,429,100.0,Yes,3.22
lena.jpg,0.5,0.01,0.0035,,644,2864,4.45,96.27,3.73,81.68,18.32,60,2,96.77,429,429,100.0,Yes,2.03
lena.jpg,0.5,0.01,0.0035,,644,2858,4.44,94.57,5.43,79.81,20.19,64,7,90.14,429,429,100.0,Yes,4.02
lena.jpg,0.5,0.01,0.0035,,644,3184,4.94,97.05,2.95,79.66,20.34,50,6,89.29,429,429,100.0,Yes,3.13
lena.jpg,0.5,0.01,0.0035,,644,3261,5.06,96.89,3.11,79.66,20.34,47,4,92.16,429,429,100.0,Yes,2.27
lena.jpg,0.5,0.01,0.0035,,644,3264,5.07,97.2,2.8,79.66,20.34,67,4,94.37,429,429,100.0,Yes,3.21
lena.jpg,0.5,0.01,0.0035,,644,3262,5.07,97.52,2.48,82.92,17.08,58,4,93.55,429,429,100.0,Yes,2.41
lena.jpg,0.5,0.01,0.0035,,644,3149,4.89,96.58,3.42,79.04,20.96,51,9,85.0,429,429,100.0,Yes,2.98
lena.jpg,0.5,0.01,0.0035,,644,3475,5.4,96.74,3.26,77.8,22.2,40,4,90.91,429,429,100.0,Yes,1.62
lena.jpg,0.5,0.01,0.0035,,644,3622,5.62,98.29,1.71,79.04,20.96,47,5,90.38,429,429,100.0,Yes,2.37
lena.jpg,0.5,0.01,0.0035,,644,3511,5.45,97.98,2.02,80.12,19.88,50,5,90.91,429,429,100.0,Yes,2.2
lena.jpg,0.5,0.01,0.0035,,644,3497,5.43,97.98,2.02,82.14,17.86,51,8,86.44,429,429,100.0,Yes,3.17
lena.jpg,0.5,0.01,0.0035,,644,3626,5.63,97.83,2.17,79.66,20.34,45,6,88.24,429,429,100.0,Yes,3.29
lena.jpg,0.5,0.01,0.0035,,644,3822,5.93,97.98,2.02,80.12,19.88,41,5,89.13,429,429,100.0,Yes,2.05
lena.jpg,0.5,0.01,0.0035,,644,3843,5.97,98.45,1.55,78.73,21.27,48,3,94.12,429,429,100.0,Yes,2.18
lena.jpg,0.5,0.01,0.0035,,644,3881,6.03,98.29,1.71,80.59,19.41,40,1,97.56,429,429,100.0,Yes,1.52
lena.jpg,0.5,0.01,0.0035,,644,3830,5.95,97.52,2.48,79.66,20.34,40,5,88.89,429,429,100.0,Yes,1.43
lena.jpg,0.5,0.01,0.0035,,644,3765,5.85,97.98,2.02,84.63,15.37,47,5,90.38,429,429,100.0,Yes,2.53
lena.jpg,0.5,0.01,0.0035,,644,4132,6.42,98.76,1.24,79.19,20.81,41,6,87.23,429,429,100.0,Yes,2.36
lena.jpg,0.5,0.01,0.0035,,644,4191,6.51,98.45,1.55,79.97,20.03,41,2,95.35,429,429,100.0,Yes,1.55
lena.jpg,0.5,0.01,0.0035,,644,4113,6.39,98.14,1.86,79.66,20.34,38,4,90.48,429,429,100.0,Yes,1.9
lena.jpg,0.5,0.01,0.0035,,644,4087,6.35,97.98,2.02,80.12,19.88,46,7,86.79,429,429,100.0,Yes,3.27
lena.jpg,0.5,0.01,0.0035,,644,4273,6.64,98.76,1.24,80.59,19.41,45,6,88.24,429,429,100.0,Yes,2.81
lena.jpg,0.5,0.01,0.0035,,644,4448,6.91,98.45,1.55,78.57,21.43,42,3,93.33,429,429,100.0,Yes,1.51
lena.jpg,0.5,0.01,0.0035,,644,4481,6.96,98.91,1.09,79.19,20.81,37,6,86.05,429,429,100.0,Yes,2.23
lena.jpg,0.5,0.01,0.0035,,644,4546,7.06,99.22,0.78,83.23,16.77,31,5,86.11,429,429,100.0,Yes,2.21
lena.jpg,0.5,0.01,0.0035,,644,4587,7.12,99.07,0.93,81.68,18.32,35,1,97.22,429,429,100.0,Yes,1.03
lena.jpg,0.5,0.01,0.0035,,644,4527,7.03,98.6,1.4,80.9,19.1,37,5,88.1,429,429,100.0,Yes,1.91
lena.jpg,0.5,0.01,0.0035,,644,4792,7.44,99.38,0.62,80.9,19.1,24,1,96.0,429,429,100.0,Yes,0.91
lena.jpg,0.5,0.01,0.0035,,644,4891,7.59,99.53,0.47,80.12,19.88,44,0,100.0,429,429,100.0,Yes,1.33
lena.jpg,0.5,0.01,0.0035,,644,4763,7.4,98.45,1.55,80.75,19.25,51,3,94.44,429,429,100.0,Yes,2.67
lena.jpg,0.5,0.01,0.0035,,644,4930,7.66,99.22,0.78,79.35,20.65,42,4,91.3,429,429,100.0,Yes,2.33
lena.jpg,0.5,0.01,0.0035,,644,4844,7.52,99.38,0.62,80.28,19.72,32,4,88.89,429,429,100.0,Yes,2.02
lena.jpg,0.5,0.01,0.0035,,644,5117,7.95,99.38,0.62,79.35,20.65,32,4,88.89,429,429,100.0,Yes,1.69
