input_file,α,sam_ratio,subs_rate,rs,total_oligos,total_reads,mean_coverage,oligo_recovery(seq),dropout(seq),oligo_recovery(decode),dropout(decode),GRAND_pass_oligos,GRAND_fail_oligos,GRAND_success_rate,chunks_recovered,total_chunks,data_recovery,decode_success,decode_time
lena.jpg,0.5,0.01,0.0035,,644,318,0.49,37.42,62.58,29.04,70.96,18,54,25.0,6,429,1.4,No,0.38
lena.jpg,0.5,0.01,0.0035,,644,307,0.48,37.42,62.58,29.19,70.81,12,53,18.46,8,429,1.86,No,0.17
lena.jpg,0.5,0.01,0.0035,,644,330,0.51,37.89,62.11,29.04,70.96,9,57,13.64,6,429,1.4,No,0.2
lena.jpg,0.5,0.01,0.0035,,644,303,0.47,37.27,62.73,28.73,71.27,10,55,15.38,7,429,1.63,No,0.16
lena.jpg,0.5,0.01,0.0035,,644,370,0.57,43.48,56.52,32.76,67.24,19,69,21.59,6,429,1.4,No,0.16
lena.jpg,0.5,0.01,0.0035,,644,633,0.98,57.76,42.24,45.03,54.97,18,82,18.0,12,429,2.8,No,0.18
lena.jpg,0.5,0.01,0.0035,,644,661,1.03,61.65,38.35,48.29,51.71,18,86,17.31,46,429,10.72,No,0.21
lena.jpg,0.5,0.01,0.0035,,644,606,0.94,57.92,42.08,46.58,53.42,13,73,15.12,17,429,3.96,No,0.17
lena.jpg,0.5,0.01,0.0035,,644,638,0.99,59.01,40.99,45.81,54.19,19,85,18.27,17,429,3.96,No,0.19
lena.jpg,0.5,0.01,0.0035,,644,631,0.98,62.73,37.27,48.91,51.09,21,89,19.09,33,429,7.69,No,0.19
lena.jpg,0.5,0.01,0.0035,,644,955,1.48,73.14,26.86,60.25,39.75,27,83,24.55,45,429,10.49,No,0.27
lena.jpg,0.5,0.01,0.0035,,644,952,1.48,72.2,27.8,59.78,40.22,28,80,25.93,28,429,6.53,No,0.22
lena.jpg,0.5,0.01,0.0035,,644,943,1.46,74.22,25.78,59.47,40.53,21,95,18.1,33,429,7.69,No,0.2
lena.jpg,0.5,0.01,0.0035,,644,998,1.55,76.71,23.29,62.11,37.89,21,94,18.26,65,429,15.15,No,0.21
lena.jpg,0.5,0.01,0.0035,,644,964,1.5,73.6,26.4,59.78,40.22,20,89,18.35,14,429,3.26,No,0.19
lena.jpg,0.5,0.01,0.0035,,644,1254,1.95,81.37,18.63,67.24,32.76,14,91,13.33,110,429,25.64,No,0.22
lena.jpg,0.5,0.01,0.0035,,644,1345,2.09,82.76,17.24,66.61,33.39,15,104,12.61,121,429,28.21,No,0.22
lena.jpg,0.5,0.01,0.0035,,644,1267,1.97,84.32,15.68,68.94,31.06,21,99,17.5,62,429,14.45,No,0.21
lena.jpg,0.5,0.01,0.0035,,644,1248,1.94,83.54,16.46,69.41,30.59,25,91,21.55,34,429,7.93,No,0.2
lena.jpg,0.5,0.01,0.0035,,644,1268,1.97,81.68,18.32,67.55,32.45,26,91,22.22,21,429,4.9,No,0.23
lena.jpg,0.5,0.01,0.0035,,644,1630,2.53,86.18,13.82,74.38,25.62,25,76,24.75,80,429,18.65,No,0.22
lena.jpg,0.5,0.01,0.0035,,644,1659,2.58,88.2,11.8,75.78,24.22,23,80,22.33,41,429,9.56,No,0.21
lena.jpg,0.5,0.01,0.0035,,644,1618,2.51,87.42,12.58,75.47,24.53,14,77,15.38,105,429,24.48,No,0.21
lena.jpg,0.5,0.01,0.0035,,644,1579,2.45,85.09,14.91,73.29,26.71,24,76,24.0,32,429,7.46,No,0.2
