input_file,α,sam_ratio,subs_rate,rs,total_oligos,total_reads,mean_coverage,oligo_recovery(seq),dropout(seq),oligo_recovery(decode),dropout(decode),GRAND_pass_oligos,GRAND_fail_oligos,GRAND_success_rate,chunks_recovered,total_chunks,data_recovery,decode_success,decode_time
lena.jpg,0.5,0.01,0.0035,,644,340,0.53,39.91,60.09,38.66,61.34,65,8,89.04,4,429,0.93,No,2.59
lena.jpg,0.5,0.01,0.0035,,644,310,0.48,37.58,62.42,36.8,63.2,60,5,92.31,14,429,3.26,No,2.22
lena.jpg,0.5,0.01,0.0035,,644,326,0.51,39.29,60.71,38.66,61.34,65,4,94.2,15,429,3.5,No,2.0
lena.jpg,0.5,0.01,0.0035,,644,307,0.48,35.87,64.13,35.56,64.44,53,2,96.36,14,429,3.26,No,1.51
lena.jpg,0.5,0.01,0.0035,,644,304,0.47,38.04,61.96,37.58,62.42,57,3,95.0,14,429,3.26,No,1.38
lena.jpg,0.5,0.01,0.0035,,644,661,1.03,60.25,39.75,59.32,40.68,85,6,93.41,15,429,3.5,No,2.31
lena.jpg,0.5,0.01,0.0035,,644,647,1.0,59.94,40.06,58.85,41.15,99,7,93.4,22,429,5.13,No,2.68
lena.jpg,0.5,0.01,0.0035,,644,681,1.06,61.18,38.82,59.32,40.68,93,12,88.57,35,429,8.16,No,3.47
lena.jpg,0.5,0.01,0.0035,,644,648,1.01,59.47,40.53,57.61,42.39,89,12,88.12,35,429,8.16,No,3.25
lena.jpg,0.5,0.01,0.0035,,644,650,1.01,61.65,38.35,59.94,40.06,84,11,88.42,51,429,11.89,No,3.73
lena.jpg,0.5,0.01,0.0035,,644,971,1.51,72.83,27.17,70.81,29.19,101,13,88.6,114,429,26.57,No,3.83
lena.jpg,0.5,0.01,0.0035,,644,1002,1.56,74.07,25.93,71.43,28.57,82,17,82.83,161,429,37.53,No,4.02
lena.jpg,0.5,0.01,0.0035,,644,956,1.48,74.38,25.62,72.05,27.95,108,15,87.8,97,429,22.61,No,4.23
lena.jpg,0.5,0.01,0.0035,,644,900,1.4,72.36,27.64,71.43,28.57,116,6,95.08,162,429,37.76,No,2.93
lena.jpg,0.5,0.01,0.0035,,644,952,1.48,74.38,25.62,72.36,27.64,108,13,89.26,114,429,26.57,No,3.61
lena.jpg,0.5,0.01,0.0035,,644,1415,2.2,82.3,17.7,80.43,19.57,92,12,88.46,181,429,42.19,No,3.9
lena.jpg,0.5,0.01,0.0035,,644,1280,1.99,81.99,18.01,79.35,20.65,99,17,85.34,131,429,30.54,No,4.9
lena.jpg,0.5,0.01,0.0035,,644,1307,2.03,83.85,16.15,76.24,23.76,102,9,91.89,429,429,100.0,Yes,3.42
lena.jpg,0.5,0.01,0.0035,,644,1328,2.06,83.39,16.61,76.4,23.6,88,11,88.89,429,429,100.0,Yes,3.44
lena.jpg,0.5,0.01,0.0035,,644,1348,2.09,83.39,16.61,79.5,20.5,109,7,93.97,429,429,100.0,Yes,3.25
lena.jpg,0.5,0.01,0.0035,,644,1637,2.54,88.04,11.96,82.45,17.55,96,11,89.72,429,429,100.0,Yes,3.66
lena.jpg,0.5,0.01,0.0035,,644,1642,2.55,88.2,11.8,80.43,19.57,80,10,88.89,429,429,100.0,Yes,3.77
lena.jpg,0.5,0.01,0.0035,,644,1604,2.49,87.42,12.58,80.43,19.57,94,7,93.07,429,429,100.0,Yes,3.1
lena.jpg,0.5,0.01,0.0035,,644,1559,2.42,83.7,16.3,81.68,18.32,90,8,91.84,429,429,100.0,Yes,3.6
lena.jpg,0.5,0.01,0.0035,,644,1577,2.45,86.34,13.66,80.59,19.41,91,7,92.86,429,429,100.0,Yes,2.97
lena.jpg,0.5,0.01,0.0035,,644,1943,3.02,91.77,8.23,79.04,20.96,88,8,91.67,429,429,100.0,Yes,3.29
lena.jpg,0.5,0.01,0.0035,,644,1914,2.97,92.86,7.14,77.95,22.05,74,11,87.06,429,429,100.0,Yes,3.25
lena.jpg,0.5,0.01,0.0035,,644,1879,2.92,91.15,8.85,77.02,22.98,71,7,91.03,429,429,100.0,Yes,2.59
lena.jpg,0.5,0.01,0.0035,,644,1917,2.98,89.91,10.09,81.21,18.79,83,8,91.21,429,429,100.0,Yes,2.97
lena.jpg,0.5,0.01,0.0035,,644,1927,2.99,90.84,9.16,78.26,21.74,68,10,87.18,429,429,100.0,Yes,3.1
lena.jpg,0.5,0.01,0.0035,,644,2239,3.48,94.1,5.9,83.7,16.3,74,3,96.1,429,429,100.0,Yes,1.93
lena.jpg,0.5,0.01,0.0035,,644,2222,3.45,93.48,6.52,83.07,16.93,65,6,91.55,429,429,100.0,Yes,2.13
lena.jpg,0.5,0.01,0.0035,,644,2238,3.48,94.1,5.9,80.9,19.1,87,6,93.55,429,429,100.0,Yes,2.69
lena.jpg,0.5,0.01,0.0035,,644,2239,3.48,94.72,5.28,77.48,22.52,87,6,93.55,429,429,100.0,Yes,1.99
lena.jpg,0.5,0.01,0.0035,,644,2258,3.51,94.57,5.43,77.95,22.05,71,6,92.21,429,429,100.0,Yes,2.57
lena.jpg,0.5,0.01,0.0035,,644,2615,4.06,95.19,4.81,82.76,17.24,69,7,90.79,429,429,100.0,Yes,2.62
lena.jpg,0.5,0.01,0.0035,,644,2485,3.86,95.5,4.5,77.8,22.2,63,6,91.3,429,429,100.0,Yes,2.39
lena.jpg,0.5,0.01,0.0035,,644,2617,4.06,95.65,4.35,77.02,22.98,62,9,87.32,429,429,100.0,Yes,2.46
lena.jpg,0.5,0.01,0.0035,,644,2508,3.89,96.43,3.57,79.04,20.96,67,8,89.33,429,429,100.0,Yes,2.53
lena.jpg,0.5,0.01,0.0035,,644,2560,3.98,95.65,4.35,79.19,20.81,72,5,93.51,429,429,100.0,Yes,2.37
