input_file,α,sam_ratio,subs_rate,rs,total_oligos,total_reads,mean_coverage,oligo_recovery(seq),dropout(seq),oligo_recovery(decode),dropout(decode),GRAND_pass_oligos,GRAND_fail_oligos,GRAND_success_rate,chunks_recovered,total_chunks,data_recovery,decode_success,decode_time
lena.jpg,0.5,0.01,0.0035,,644,330,0.51,38.51,61.49,32.76,67.24,25,37,40.32,9,429,2.1,No,0.99
lena.jpg,0.5,0.01,0.0035,,644,353,0.55,41.93,58.07,34.16,65.84,25,50,33.33,11,429,2.56,No,0.25
lena.jpg,0.5,0.01,0.0035,,644,351,0.55,41.15,58.85,34.01,65.99,28,46,37.84,9,429,2.1,No,0.27
lena.jpg,0.5,0.01,0.0035,,644,332,0.52,37.73,62.27,32.92,67.08,23,31,42.59,13,429,3.03,No,0.21
lena.jpg,0.5,0.01,0.0035,,644,292,0.45,34.32,65.68,28.73,71.27,24,36,40.0,6,429,1.4,No,0.2
lena.jpg,0.5,0.01,0.0035,,644,670,1.04,62.27,37.73,51.24,48.76,43,71,37.72,13,429,3.03,No,0.28
lena.jpg,0.5,0.01,0.0035,,644,644,1.0,61.18,38.82,51.86,48.14,41,60,40.59,10,429,2.33,No,0.34
lena.jpg,0.5,0.01,0.0035,,644,602,0.93,58.23,41.77,48.45,51.55,41,63,39.42,24,429,5.59,No,0.27
lena.jpg,0.5,0.01,0.0035,,644,642,1.0,58.39,41.61,47.98,52.02,26,67,27.96,36,429,8.39,No,0.29
lena.jpg,0.5,0.01,0.0035,,644,667,1.04,61.8,38.2,51.55,48.45,38,66,36.54,25,429,5.83,No,0.27
lena.jpg,0.5,0.01,0.0035,,644,956,1.48,72.67,27.33,60.56,39.44,32,78,29.09,35,429,8.16,No,0.31
lena.jpg,0.5,0.01,0.0035,,644,964,1.5,72.05,27.95,60.09,39.91,31,77,28.7,64,429,14.92,No,0.32
lena.jpg,0.5,0.01,0.0035,,644,1012,1.57,73.91,26.09,63.51,36.49,35,67,34.31,21,429,4.9,No,0.29
lena.jpg,0.5,0.01,0.0035,,644,1012,1.57,73.91,26.09,62.27,37.73,36,75,32.43,20,429,4.66,No,0.3
lena.jpg,0.5,0.01,0.0035,,644,982,1.52,76.55,23.45,65.06,34.94,36,74,32.73,57,429,13.29,No,0.32
lena.jpg,0.5,0.01,0.0035,,644,1335,2.07,84.47,15.53,70.81,29.19,49,88,35.77,157,429,36.6,No,0.42
lena.jpg,0.5,0.01,0.0035,,644,1258,1.95,81.52,18.48,69.25,30.75,43,79,35.25,19,429,4.43,No,0.31
lena.jpg,0.5,0.01,0.0035,,644,1340,2.08,84.32,15.68,72.83,27.17,33,74,30.84,32,429,7.46,No,0.31
lena.jpg,0.5,0.01,0.0035,,644,1274,1.98,82.3,17.7,70.65,29.35,47,75,38.52,90,429,20.98,No,0.31
lena.jpg,0.5,0.01,0.0035,,644,1315,2.04,83.85,16.15,71.43,28.57,36,80,31.03,139,429,32.4,No,0.32
lena.jpg,0.5,0.01,0.0035,,644,1602,2.49,88.04,11.96,75.0,25.0,39,84,31.71,91,429,21.21,No,0.33
lena.jpg,0.5,0.01,0.0035,,644,1645,2.55,88.82,11.18,79.04,20.96,38,63,37.62,289,429,67.37,No,0.33
lena.jpg,0.5,0.01,0.0035,,644,1601,2.49,90.99,9.01,77.17,22.83,37,89,29.37,254,429,59.21,No,0.35
lena.jpg,0.5,0.01,0.0035,,644,1599,2.48,88.82,11.18,77.95,22.05,36,70,33.96,50,429,11.66,No,0.31
lena.jpg,0.5,0.01,0.0035,,644,1556,2.42,87.89,12.11,78.42,21.58,36,61,37.11,82,429,19.11,No,0.32
