input_file,α,sam_ratio,subs_rate,total_oligos,total_reads,mean_coverage,oligo_recovery(seq),dropout(seq),oligo_recovery(decode),dropout(decode),decode_success,decode_time
lena.jpg,0.5,0.01,0.0035,644,320,0.5,39.44,60.56,27.48,72.52,No,0.02
lena.jpg,0.5,0.01,0.0035,644,327,0.51,38.66,61.34,28.73,71.27,No,0.02
lena.jpg,0.5,0.01,0.0035,644,324,0.5,40.06,59.94,28.88,71.12,No,0.02
lena.jpg,0.5,0.01,0.0035,644,358,0.56,42.39,57.61,31.68,68.32,No,0.02
lena.jpg,0.5,0.01,0.0035,644,367,0.57,42.08,57.92,31.06,68.94,No,0.02
lena.jpg,0.5,0.01,0.0035,644,625,0.97,60.4,39.6,41.46,58.54,No,0.03
lena.jpg,0.5,0.01,0.0035,644,639,0.99,61.8,38.2,43.94,56.06,No,0.03
lena.jpg,0.5,0.01,0.0035,644,625,0.97,58.39,41.61,43.48,56.52,No,0.03
lena.jpg,0.5,0.01,0.0035,644,682,1.06,61.96,38.04,47.36,52.64,No,0.03
lena.jpg,0.5,0.01,0.0035,644,650,1.01,62.58,37.42,45.96,54.04,No,0.03
lena.jpg,0.5,0.01,0.0035,644,966,1.5,75.47,24.53,56.37,43.63,No,0.04
lena.jpg,0.5,0.01,0.0035,644,942,1.46,73.6,26.4,52.95,47.05,No,0.04
lena.jpg,0.5,0.01,0.0035,644,948,1.47,73.14,26.86,55.9,44.1,No,0.04
lena.jpg,0.5,0.01,0.0035,644,902,1.4,71.89,28.11,53.73,46.27,No,0.04
lena.jpg,0.5,0.01,0.0035,644,1012,1.57,77.33,22.67,57.3,42.7,No,0.04
lena.jpg,0.5,0.01,0.0035,644,1303,2.02,83.39,16.61,64.44,35.56,No,0.05
lena.jpg,0.5,0.01,0.0035,644,1287,2.0,83.07,16.93,66.3,33.7,No,0.05
lena.jpg,0.5,0.01,0.0035,644,1267,1.97,83.07,16.93,66.3,33.7,No,0.04
lena.jpg,0.5,0.01,0.0035,644,1332,2.07,82.45,17.55,65.84,34.16,No,0.04
lena.jpg,0.5,0.01,0.0035,644,1285,2.0,83.39,16.61,64.75,35.25,No,0.04
lena.jpg,0.5,0.01,0.0035,644,1602,2.49,88.35,11.65,70.19,29.81,No,0.05
lena.jpg,0.5,0.01,0.0035,644,1680,2.61,88.66,11.34,70.19,29.81,No,0.05
lena.jpg,0.5,0.01,0.0035,644,1686,2.62,88.51,11.49,70.96,29.04,No,0.05
lena.jpg,0.5,0.01,0.0035,644,1623,2.52,88.04,11.96,73.45,26.55,No,0.05
lena.jpg,0.5,0.01,0.0035,644,1639,2.55,88.82,11.18,71.58,28.42,No,0.05
lena.jpg,0.5,0.01,0.0035,644,1985,3.08,91.77,8.23,74.69,25.31,No,0.05
lena.jpg,0.5,0.01,0.0035,644,1982,3.08,92.55,7.45,76.71,23.29,No,0.05
lena.jpg,0.5,0.01,0.0035,644,2002,3.11,90.37,9.63,75.62,24.38,No,0.11
lena.jpg,0.5,0.01,0.0035,644,1962,3.05,92.86,7.14,77.8,22.2,No,0.06
lena.jpg,0.5,0.01,0.0035,644,1816,2.82,90.99,9.01,71.74,28.26,No,0.05
lena.jpg,0.5,0.01,0.0035,644,2273,3.53,92.55,7.45,77.48,22.52,No,0.06
lena.jpg,0.5,0.01,0.0035,644,2263,3.51,94.25,5.75,79.66,20.34,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,2252,3.5,93.17,6.83,80.9,19.1,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,2332,3.62,93.48,6.52,78.26,21.74,No,0.06
lena.jpg,0.5,0.01,0.0035,644,2193,3.41,92.24,7.76,78.73,21.27,No,0.06
lena.jpg,0.5,0.01,0.0035,644,2562,3.98,95.65,4.35,80.28,19.72,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,2619,4.07,95.96,4.04,79.81,20.19,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,2537,3.94,94.57,5.43,80.28,19.72,No,0.05
lena.jpg,0.5,0.01,0.0035,644,2517,3.91,94.1,5.9,79.66,20.34,No,0.06
lena.jpg,0.5,0.01,0.0035,644,2678,4.16,94.41,5.59,79.81,20.19,No,0.06
lena.jpg,0.5,0.01,0.0035,644,2887,4.48,96.43,3.57,81.83,18.17,Yes,0.07
lena.jpg,0.5,0.01,0.0035,644,2930,4.55,96.27,3.73,81.68,18.32,Yes,0.1
lena.jpg,0.5,0.01,0.0035,644,2887,4.48,96.74,3.26,81.99,18.01,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,2882,4.48,97.05,2.95,79.35,20.65,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,2922,4.54,95.81,4.19,81.21,18.79,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,3185,4.95,97.36,2.64,80.43,19.57,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,3284,5.1,96.58,3.42,81.06,18.94,Yes,0.08
lena.jpg,0.5,0.01,0.0035,644,3255,5.05,98.29,1.71,78.26,21.74,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,3294,5.11,97.05,2.95,84.63,15.37,Yes,0.07
lena.jpg,0.5,0.01,0.0035,644,3239,5.03,97.36,2.64,79.97,20.03,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,3601,5.59,98.14,1.86,77.48,22.52,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,3598,5.59,97.52,2.48,83.07,16.93,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,3524,5.47,97.98,2.02,86.49,13.51,Yes,0.07
lena.jpg,0.5,0.01,0.0035,644,3473,5.39,98.45,1.55,83.39,16.61,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,3566,5.54,98.14,1.86,78.11,21.89,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,3861,6.0,99.53,0.47,80.28,19.72,Yes,0.07
lena.jpg,0.5,0.01,0.0035,644,3787,5.88,98.45,1.55,86.8,13.2,Yes,0.07
lena.jpg,0.5,0.01,0.0035,644,3945,6.13,97.98,2.02,85.56,14.44,Yes,0.07
lena.jpg,0.5,0.01,0.0035,644,3915,6.08,98.76,1.24,80.28,19.72,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,3902,6.06,97.52,2.48,81.99,18.01,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,4195,6.51,98.14,1.86,80.59,19.41,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,4289,6.66,98.76,1.24,79.97,20.03,Yes,0.07
lena.jpg,0.5,0.01,0.0035,644,4180,6.49,98.6,1.4,77.64,22.36,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,4264,6.62,98.29,1.71,78.88,21.12,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,4176,6.48,98.91,1.09,80.12,19.88,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,4504,6.99,98.45,1.55,78.57,21.43,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,4400,6.83,98.76,1.24,81.37,18.63,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,4529,7.03,98.91,1.09,78.88,21.12,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,4452,6.91,98.45,1.55,77.95,22.05,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,4568,7.09,99.53,0.47,78.42,21.58,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,4735,7.35,99.53,0.47,79.66,20.34,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,4729,7.34,99.38,0.62,79.19,20.81,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,4872,7.57,99.38,0.62,83.23,16.77,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,4837,7.51,98.45,1.55,80.43,19.57,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,4836,7.51,99.38,0.62,82.61,17.39,Yes,0.07
lena.jpg,0.5,0.01,0.0035,644,5230,8.12,99.07,0.93,80.12,19.88,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,5053,7.85,99.69,0.31,87.11,12.89,Yes,0.07
lena.jpg,0.5,0.01,0.0035,644,5098,7.92,98.45,1.55,80.9,19.1,Yes,0.07
lena.jpg,0.5,0.01,0.0035,644,5288,8.21,99.22,0.78,80.12,19.88,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,5124,7.96,99.22,0.78,82.61,17.39,Yes,0.09
lena.jpg,0.5,0.01,0.0035,644,5475,8.5,99.07,0.93,79.04,20.96,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,5453,8.47,99.38,0.62,80.12,19.88,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,5504,8.55,99.38,0.62,77.17,22.83,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,5461,8.48,99.38,0.62,76.24,23.76,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,5445,8.45,99.38,0.62,83.07,16.93,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,5779,8.97,98.91,1.09,78.11,21.89,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,5684,8.83,99.84,0.16,79.97,20.03,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,5784,8.98,99.69,0.31,77.95,22.05,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,5643,8.76,99.69,0.31,78.42,21.58,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,5871,9.12,99.38,0.62,81.06,18.94,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,6124,9.51,99.22,0.78,79.19,20.81,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,6053,9.4,99.38,0.62,79.97,20.03,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,6049,9.39,99.38,0.62,80.43,19.57,Yes,0.07
lena.jpg,0.5,0.01,0.0035,644,6196,9.62,99.84,0.16,82.61,17.39,Yes,0.07
lena.jpg,0.5,0.01,0.0035,644,6026,9.36,99.69,0.31,80.43,19.57,Yes,0.07
lena.jpg,0.5,0.01,0.0035,644,6527,10.14,99.69,0.31,79.66,20.34,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,6553,10.18,99.69,0.31,82.76,17.24,Yes,0.12
lena.jpg,0.5,0.01,0.0035,644,6396,9.93,100.0,0.0,80.43,19.57,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,6476,10.06,100.0,0.0,83.23,16.77,Yes,0.06
lena.jpg,0.5,0.01,0.0035,644,6387,9.92,98.91,1.09,81.21,18.79,Yes,0.06
