input_file,α,sam_ratio,subs_rate,rs,total_oligos,total_reads,mean_coverage,oligo_recovery(seq),dropout(seq),oligo_recovery(decode),dropout(decode),GRAND_pass_oligos,GRAND_fail_oligos,GRAND_success_rate,chunks_recovered,total_chunks,data_recovery,decode_success,decode_time
lena.jpg,0.5,0.01,0.0035,,644,2231,3.46,92.7,7.3,81.06,18.94,46,38,54.76,429,429,100.0,Yes,0.32
lena.jpg,0.5,0.01,0.0035,,644,2251,3.5,94.72,5.28,77.48,22.52,68,5,93.15,429,429,100.0,Yes,2.29
lena.jpg,0.5,0.01,0.0035,,644,2222,3.45,92.24,7.76,75.78,24.22,67,1,98.53,429,429,100.0,Yes,0.57
lena.jpg,0.5,0.01,0.0035,,644,2227,3.46,93.32,6.68,81.37,18.63,56,31,64.37,429,429,100.0,Yes,0.2
lena.jpg,0.5,0.01,0.0035,,644,2240,3.48,94.1,5.9,80.59,19.41,50,33,60.24,429,429,100.0,Yes,0.56
lena.jpg,0.5,0.01,0.0035,,644,1580,2.45,87.27,12.73,79.5,20.5,69,50,57.98,125,429,29.14,No,0.62
lena.jpg,0.5,0.01,0.0035,,644,1625,2.52,86.65,13.35,80.28,19.72,67,41,62.04,105,429,24.48,No,1.01
lena.jpg,0.5,0.01,0.0035,,644,1598,2.48,86.49,13.51,79.97,20.03,62,41,60.19,429,429,100.0,Yes,0.83
lena.jpg,0.5,0.01,0.0035,,644,1576,2.45,87.89,12.11,79.81,20.19,68,39,63.55,429,429,100.0,Yes,0.81
lena.jpg,0.5,0.01,0.0035,,644,992,1.54,73.6,26.4,66.61,33.39,55,45,55.0,49,429,11.42,No,0.7
lena.jpg,0.5,0.01,0.0035,,644,1095,1.7,78.57,21.43,71.43,28.57,76,46,62.3,144,429,33.57,No,0.7
