input_file,α,sam_ratio,subs_rate,total_oligos,total_reads,mean_coverage,oligo_recovery(seq),dropout(seq),oligo_recovery(decode),dropout(decode),decode_success,decode_time
lena.jpg,0.5,0.01,0.0035,644,355,0.55,41.3,58.7,40.99,59.01,No,0.07
lena.jpg,0.5,0.01,0.0035,644,362,0.56,42.39,57.61,42.08,57.92,No,0.07
lena.jpg,0.5,0.01,0.0035,644,316,0.49,38.04,61.96,38.04,61.96,No,0.06
lena.jpg,0.5,0.01,0.0035,644,359,0.56,40.53,59.47,40.06,59.94,No,0.07
lena.jpg,0.5,0.01,0.0035,644,354,0.55,41.93,58.07,41.77,58.23,No,0.07
lena.jpg,0.5,0.01,0.0035,644,657,1.02,59.94,40.06,59.32,40.68,No,0.1
lena.jpg,0.5,0.01,0.0035,644,647,1.0,61.8,38.2,61.65,38.35,No,0.1
lena.jpg,0.5,0.01,0.0035,644,655,1.02,61.18,38.82,61.18,38.82,No,0.1
lena.jpg,0.5,0.01,0.0035,644,652,1.01,61.8,38.2,61.8,38.2,No,0.1
lena.jpg,0.5,0.01,0.0035,644,633,0.98,58.7,41.3,58.7,41.3,No,0.1
lena.jpg,0.5,0.01,0.0035,644,959,1.49,74.84,25.16,74.22,25.78,No,0.13
lena.jpg,0.5,0.01,0.0035,644,961,1.49,73.14,26.86,72.98,27.02,No,0.13
lena.jpg,0.5,0.01,0.0035,644,928,1.44,73.29,26.71,72.98,27.02,No,0.12
lena.jpg,0.5,0.01,0.0035,644,972,1.51,74.38,25.62,74.38,25.62,No,0.13
lena.jpg,0.5,0.01,0.0035,644,913,1.42,72.98,27.02,72.98,27.02,No,0.15
lena.jpg,0.5,0.01,0.0035,644,1257,1.95,81.52,18.48,80.9,19.1,Yes,0.15
lena.jpg,0.5,0.01,0.0035,644,1312,2.04,84.94,15.06,83.07,16.93,Yes,0.15
lena.jpg,0.5,0.01,0.0035,644,1257,1.95,81.83,18.17,80.28,19.72,Yes,0.18
lena.jpg,0.5,0.01,0.0035,644,1246,1.93,79.04,20.96,78.73,21.27,No,0.19
lena.jpg,0.5,0.01,0.0035,644,1336,2.07,85.4,14.6,79.81,20.19,Yes,0.15
lena.jpg,0.5,0.01,0.0035,644,1646,2.56,88.98,11.02,75.93,24.07,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,1632,2.53,87.89,12.11,78.11,21.89,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,1618,2.51,88.51,11.49,78.88,21.12,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,1628,2.53,85.56,14.44,75.78,24.22,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,1616,2.51,89.29,10.71,78.88,21.12,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,1894,2.94,91.77,8.23,74.69,25.31,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,1938,3.01,92.08,7.92,75.31,24.69,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,1967,3.05,91.46,8.54,73.45,26.55,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,1941,3.01,92.7,7.3,76.4,23.6,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,1960,3.04,90.68,9.32,78.88,21.12,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,2242,3.48,92.86,7.14,78.57,21.43,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,2223,3.45,93.79,6.21,74.22,25.78,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,2272,3.53,94.1,5.9,76.09,23.91,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,2302,3.57,93.94,6.06,76.71,23.29,Yes,0.15
lena.jpg,0.5,0.01,0.0035,644,2293,3.56,96.12,3.88,73.76,26.24,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,2529,3.93,95.5,4.5,75.93,24.07,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,2589,4.02,95.65,4.35,76.24,23.76,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,2532,3.93,96.58,3.42,78.11,21.89,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,2626,4.08,94.88,5.12,78.57,21.43,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,2501,3.88,95.19,4.81,75.62,24.38,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,2912,4.52,97.05,2.95,76.09,23.91,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,2840,4.41,96.12,3.88,76.86,23.14,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,2865,4.45,96.12,3.88,77.17,22.83,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,2882,4.48,95.96,4.04,76.55,23.45,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,2937,4.56,97.36,2.64,77.64,22.36,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,3231,5.02,97.36,2.64,76.55,23.45,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,3222,5.0,97.67,2.33,76.09,23.91,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,3249,5.05,98.14,1.86,77.02,22.98,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,3182,4.94,97.36,2.64,77.8,22.2,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,3180,4.94,95.96,4.04,76.09,23.91,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,3564,5.53,98.45,1.55,77.8,22.2,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,3460,5.37,97.83,2.17,77.17,22.83,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,3502,5.44,97.52,2.48,79.97,20.03,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,3538,5.49,97.52,2.48,77.8,22.2,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,3524,5.47,98.29,1.71,78.11,21.89,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,3908,6.07,97.98,2.02,80.28,19.72,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,3838,5.96,98.76,1.24,77.17,22.83,Yes,0.15
lena.jpg,0.5,0.01,0.0035,644,3831,5.95,98.14,1.86,78.42,21.58,Yes,0.16
lena.jpg,0.5,0.01,0.0035,644,3927,6.1,98.76,1.24,78.11,21.89,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,3806,5.91,97.67,2.33,80.12,19.88,Yes,0.18
lena.jpg,0.5,0.01,0.0035,644,4235,6.58,99.07,0.93,75.31,24.69,Yes,0.3
lena.jpg,0.5,0.01,0.0035,644,4161,6.46,98.29,1.71,78.26,21.74,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,4155,6.45,99.07,0.93,74.38,25.62,Yes,0.13
