oligo_index,total_copies
0,3731
1,4716
2,9860
3,12926
4,14086
5,3617
6,13673
7,8441
8,1988
9,7009
10,11189
11,5453
12,18263
13,10325
14,15946
15,9287
16,8083
17,9160
18,3482
19,7097
20,5786
21,8216
22,5887
23,5830
24,8118
25,11691
26,9071
27,6319
28,7340
29,7077
30,6695
31,12110
32,3177
33,15483
34,7138
35,8625
36,5296
37,3481
38,7614
39,6410
40,5174
41,5135
42,4960
43,9981
44,6214
45,5338
46,5901
47,8845
48,7842
49,6401
50,7634
51,9521
52,12620
53,9085
54,14839
55,12202
56,7065
57,5873
58,5550
59,7369
60,10203
61,19272
62,5942
63,5047
64,7911
65,12278
66,9438
67,11634
68,6480
69,6383
70,13093
71,9407
72,5028
73,5087
74,10231
75,7500
76,8918
77,9162
78,5508
79,10709
80,6394
81,6851
82,9112
83,8366
84,8545
85,3157
86,5359
87,5362
88,10822
89,9291
90,7671
91,6706
92,6510
93,9410
94,6415
95,7814
96,11089
97,9281
98,3928
99,13290
100,6608
101,8295
102,11280
103,10014
104,8588
105,5943
106,1853
107,5143
108,9652
109,4819
110,10097
111,4906
112,10574
113,6740
114,8228
115,10685
116,4774
117,5215
118,4225
119,5157
120,7450
121,12233
122,4346
123,5429
124,3866
125,4811
126,7630
127,5827
128,3938
129,6382
130,7770
131,2581
132,6360
133,7130
134,6815
135,9903
136,13919
137,7592
138,7151
139,10207
140,10424
141,5249
142,7166
143,7083
144,12025
145,9008
146,7351
147,12253
148,11136
149,9255
150,6071
151,7017
152,8649
153,11949
154,6946
155,8103
156,11295
157,7109
158,14748
159,4701
160,7499
161,6222
162,9674
163,9482
164,5474
165,7598
166,6470
167,8115
168,9791
169,11083
170,8318
171,5652
172,8990
173,9827
174,11447
175,8311
176,6137
177,8503
178,9962
179,6927
180,7547
181,7470
182,10823
183,6535
184,9976
185,9996
186,10098
187,6318
188,9743
189,8888
190,8948
191,11403
192,11567
193,3503
194,9097
195,5639
196,8294
197,8488
198,3071
199,4025
200,9232
201,8251
202,9945
203,1820
204,7600
205,2018
206,4914
207,7701
208,11035
209,6272
210,7734
211,3903
212,11591
213,7799
214,6152
215,10509
216,5503
217,6713
218,13247
219,11792
220,9994
221,8700
222,2439
223,8546
224,6632
225,9201
226,4866
227,5162
228,7431
229,4754
230,10116
231,6275
232,4867
233,4760
234,5347
235,3458
236,7480
237,4275
238,9517
239,3272
240,6772
241,5285
242,11368
243,4664
244,6840
245,8207
246,14183
247,10744
248,7100
249,5991
250,7254
251,7605
252,4715
253,7580
254,4819
255,11348
256,8661
257,7094
258,4632
259,4860
260,7700
261,4715
262,3769
263,8908
264,9308
265,7658
266,4544
267,9036
268,12298
269,6744
270,6521
271,4101
272,15536
273,13951
274,8823
275,9798
276,6466
277,8602
278,5540
279,6481
280,10401
281,8473
282,4512
283,11370
284,10049
285,7583
286,6850
287,10906
288,7087
289,5986
290,8072
291,7336
292,10013
293,11010
294,7373
295,10822
296,8912
297,10146
298,7831
299,4813
300,11559
301,10260
302,7610
303,8557
304,4538
305,10695
306,10668
307,4902
308,9775
309,4362
310,7470
311,4195
312,7890
313,4784
314,8081
315,2854
316,10502
317,8053
318,2719
319,4182
