oligo_index,total_copies
0,1
1,3
2,3
3,1
4,2
5,0
6,1
7,2
8,1
9,1
10,3
11,3
12,4
13,3
14,6
15,3
16,3
17,3
18,0
19,2
20,1
21,1
22,0
23,1
24,1
25,3
26,2
27,1
28,2
29,1
30,1
31,2
32,0
33,3
34,1
35,0
36,1
37,0
38,2
39,1
40,0
41,2
42,1
43,3
44,1
45,1
46,1
47,3
48,0
49,0
50,2
51,1
52,1
53,2
54,0
55,5
56,1
57,1
58,0
59,3
60,2
61,5
62,1
63,3
64,0
65,4
66,2
67,6
68,1
69,4
70,1
71,4
72,0
73,2
74,0
75,0
76,0
77,1
78,2
79,3
80,2
81,2
82,0
83,4
84,2
85,1
86,1
87,1
88,3
89,0
90,1
91,3
92,4
93,1
94,2
95,1
96,2
97,4
98,1
99,6
100,1
101,0
102,4
103,0
104,1
105,1
106,2
107,0
108,1
109,1
110,1
111,0
112,1
113,2
114,3
115,4
116,0
117,2
118,1
119,4
120,0
121,1
122,0
123,2
124,1
125,1
126,0
127,1
128,0
129,2
130,1
131,0
132,1
133,3
134,1
135,3
136,4
137,1
138,1
139,4
140,2
141,2
142,1
143,0
144,8
145,2
146,2
147,3
148,0
149,0
150,1
151,0
152,1
153,3
154,0
155,1
156,2
157,0
158,4
159,1
160,2
161,0
162,1
163,0
164,0
165,0
166,2
167,1
168,4
169,2
170,4
171,1
172,2
173,3
174,2
175,2
176,1
177,2
178,2
179,1
180,0
181,0
182,5
183,1
184,2
185,5
186,6
187,1
188,3
189,2
190,2
191,1
192,3
193,0
194,4
195,2
196,0
197,1
198,2
199,0
200,3
201,1
202,3
203,0
204,1
205,1
206,3
207,3
208,2
209,2
210,1
211,0
212,0
213,3
214,2
215,2
216,3
217,0
218,1
219,5
220,3
221,1
222,0
223,0
224,1
225,3
226,5
227,1
228,3
229,2
230,0
231,1
232,1
233,2
234,2
235,0
236,0
237,1
238,5
239,0
240,0
241,0
242,2
243,1
244,0
245,3
246,0
247,1
248,2
249,1
250,1
251,3
252,3
253,0
254,0
255,2
256,2
257,0
258,0
259,0
260,0
261,3
262,2
263,3
264,0
265,3
266,0
267,3
268,3
269,2
270,3
271,2
272,2
273,1
274,1
275,2
276,2
277,2
278,2
279,1
280,3
281,2
282,1
283,2
284,5
285,1
286,4
287,2
288,3
289,1
290,4
291,2
292,3
293,4
294,1
295,1
296,3
297,4
298,2
299,0
300,2
301,4
302,1
303,1
304,1
305,2
306,6
307,1
308,4
309,0
310,1
311,0
312,2
313,0
314,2
315,0
316,3
317,2
318,0
319,0
320,1
321,1
322,1
323,5
324,1
325,2
326,1
327,2
328,3
329,0
330,4
331,2
332,2
333,5
334,2
335,2
336,2
337,1
338,3
339,0
340,0
341,2
342,3
343,3
344,0
345,1
346,3
347,1
348,5
349,0
350,3
351,4
352,1
353,3
354,3
355,2
356,2
357,2
358,0
359,0
360,2
361,1
362,0
363,0
364,1
365,1
366,1
367,1
368,2
369,0
370,1
371,2
372,3
373,0
374,7
375,1
376,0
377,1
378,4
379,1
380,0
381,0
382,1
383,0
384,2
385,2
386,1
387,3
388,0
389,0
390,2
391,1
392,1
393,1
394,4
395,1
396,1
397,5
398,3
399,2
400,0
401,1
402,0
403,1
404,1
405,1
406,0
407,2
408,1
409,4
410,2
411,3
412,0
413,3
414,2
415,0
416,1
417,1
418,2
419,2
420,0
421,1
422,3
423,5
424,1
425,6
426,1
427,0
428,1
429,3
430,3
431,2
432,3
433,1
434,0
435,1
436,3
437,1
438,0
439,4
440,7
441,2
442,1
443,2
444,0
445,1
446,1
447,3
448,1
449,0
450,1
451,4
452,3
453,1
454,1
455,2
456,4
457,2
458,0
459,0
460,0
461,1
462,0
463,3
464,2
465,4
466,2
467,2
468,4
469,0
470,3
471,1
472,1
473,3
474,3
475,4
476,1
477,1
478,1
479,1
480,3
481,0
482,1
483,0
484,1
485,3
486,2
487,1
488,1
489,0
490,1
491,0
492,0
493,5
494,0
495,3
496,1
497,2
498,2
499,0
500,0
501,2
502,0
503,1
504,1
505,1
506,2
507,1
508,5
509,0
510,3
511,1
512,1
513,6
514,3
515,0
516,1
517,0
518,1
519,3
520,1
521,1
522,2
523,2
524,6
525,2
526,3
527,0
528,1
529,1
530,1
531,4
532,1
533,0
534,3
535,2
536,0
537,4
538,0
539,2
540,1
541,0
542,2
543,1
544,1
545,5
546,0
547,1
548,1
549,2
550,3
551,2
552,3
553,3
554,3
555,1
556,5
557,1
558,2
559,0
560,3
561,0
562,2
563,4
564,0
565,0
566,3
567,1
568,1
569,1
570,1
571,4
572,2
573,3
574,1
575,1
576,2
577,2
578,1
579,3
580,1
581,1
582,4
583,2
584,3
585,1
586,1
587,1
588,3
589,4
590,1
591,1
592,2
593,1
594,2
595,2
596,2
597,2
598,0
599,2
600,1
601,0
602,2
603,0
604,1
605,1
606,2
607,3
608,0
609,0
610,4
611,0
612,3
613,2
614,2
615,0
616,2
617,3
618,1
619,5
620,2
621,2
622,1
623,1
624,0
625,1
626,1
627,0
628,1
629,0
630,2
631,3
632,4
633,5
634,1
635,2
636,0
637,1
638,2
639,3
640,2
641,1
642,4
643,1
