oligo_index,total_copies
0,4
1,11
2,14
3,13
4,11
5,6
6,13
7,9
8,5
9,8
10,13
11,8
12,16
13,14
14,17
15,12
16,10
17,9
18,8
19,8
20,6
21,10
22,7
23,9
24,11
25,12
26,12
27,7
28,9
29,9
30,7
31,11
32,6
33,14
34,10
35,12
36,8
37,8
38,11
39,11
40,9
41,5
42,9
43,9
44,10
45,11
46,10
47,12
48,12
49,8
50,11
51,12
52,14
53,8
54,13
55,9
56,10
57,10
58,11
59,7
60,11
61,16
62,5
63,7
64,9
65,10
66,10
67,12
68,9
69,7
70,11
71,14
72,9
73,8
74,10
75,10
76,10
77,13
78,8
79,14
80,9
81,9
82,9
83,10
84,9
85,5
86,10
87,11
88,10
89,9
90,10
91,8
92,8
93,9
94,11
95,14
96,11
97,10
98,7
99,10
100,10
101,9
102,10
103,14
104,7
105,9
106,6
107,10
108,14
109,6
110,9
111,9
112,9
113,10
114,8
115,9
116,5
117,9
118,8
119,6
120,11
121,8
122,8
123,6
124,4
125,9
126,8
127,10
128,9
129,11
130,12
131,6
132,6
133,9
134,12
135,9
136,13
137,8
138,15
139,12
140,9
141,8
142,10
143,11
144,10
145,13
146,8
147,8
148,10
149,12
150,7
151,7
152,7
153,10
154,11
155,9
156,10
157,9
158,12
159,7
160,11
161,7
162,9
163,13
164,8
165,10
166,12
167,12
168,11
169,12
170,10
171,6
172,11
173,9
174,10
175,8
176,8
177,12
178,10
179,11
180,7
181,8
182,10
183,9
184,10
185,9
186,10
187,7
188,9
189,11
190,9
191,11
192,11
193,6
194,13
195,4
196,10
197,10
198,8
199,9
200,11
201,13
202,9
203,3
204,8
205,5
206,9
207,10
208,14
209,5
210,11
211,5
212,15
213,8
214,11
215,14
216,9
217,8
218,11
219,11
220,14
221,13
222,6
223,10
224,10
225,11
226,8
227,7
228,11
229,10
230,12
231,11
232,8
233,8
234,8
235,7
236,11
237,6
238,11
239,6
240,9
241,10
242,13
243,9
244,12
245,12
246,14
247,13
248,8
249,7
250,9
251,8
252,9
253,7
254,7
255,9
256,9
257,10
258,10
259,6
260,7
261,8
262,12
263,14
264,10
265,8
266,6
267,10
268,11
269,11
270,7
271,6
272,10
273,15
274,11
275,10
276,8
277,13
278,8
279,8
280,11
281,11
282,8
283,10
284,9
285,11
286,8
287,8
288,10
289,7
290,10
291,9
292,10
293,9
294,10
295,12
296,11
297,11
298,9
299,8
300,16
301,12
302,8
303,13
304,6
305,12
306,11
307,6
308,12
309,7
310,10
311,7
312,7
313,10
314,10
315,5
316,10
317,12
318,5
319,6
320,12
321,10
322,12
323,14
324,10
325,6
326,10
327,7
328,10
329,8
330,9
331,7
332,8
333,12
334,13
335,10
336,10
337,11
338,13
339,11
340,7
341,12
342,13
343,9
344,9
345,12
346,11
347,7
348,12
349,9
350,13
351,12
352,11
353,8
354,18
355,10
356,12
357,12
358,12
359,10
360,5
361,10
362,11
363,8
364,10
365,10
366,7
367,9
368,6
369,7
370,10
371,11
372,10
373,10
374,13
375,10
376,12
377,11
378,7
379,6
380,5
381,12
382,5
383,7
384,14
385,7
386,7
387,12
388,7
389,8
390,9
391,7
392,10
393,8
394,14
395,7
396,7
397,11
398,11
399,7
400,5
401,7
402,5
403,6
404,11
405,11
406,7
407,9
408,7
409,11
410,12
411,11
412,5
413,5
414,9
415,14
416,6
417,9
418,13
419,7
420,8
421,9
422,6
423,10
424,8
425,6
426,4
427,8
428,9
429,11
430,11
431,9
432,9
433,10
434,7
435,9
436,8
437,12
438,8
439,8
440,16
441,9
442,6
443,8
444,7
445,8
446,13
447,9
448,10
449,10
450,11
451,10
452,10
453,10
454,9
455,10
456,10
457,7
458,11
459,11
460,5
461,12
462,10
463,11
464,7
465,15
466,8
467,8
468,9
469,12
470,7
471,6
472,7
473,16
474,12
475,13
476,10
477,7
478,9
479,9
480,11
481,13
482,7
483,11
484,9
485,9
486,6
487,7
488,8
489,6
490,11
491,8
492,10
493,8
494,3
495,12
496,9
497,10
498,6
499,14
500,8
501,8
502,7
503,7
504,11
505,7
506,9
507,9
508,11
509,8
510,13
511,10
512,10
513,15
514,7
515,11
516,13
517,7
518,10
519,13
520,8
521,8
522,11
523,6
524,12
525,12
526,11
527,12
528,8
529,8
530,9
531,13
532,10
533,9
534,9
535,14
536,11
537,13
538,10
539,11
540,13
541,5
542,5
543,9
544,9
545,10
546,14
547,11
548,12
549,11
550,13
551,10
552,13
553,9
554,9
555,4
556,13
557,7
558,8
559,10
560,12
561,6
562,4
563,8
564,10
565,7
566,13
567,7
568,6
569,12
570,9
571,12
572,13
573,12
574,11
575,6
576,12
577,10
578,13
579,11
580,7
581,10
582,13
583,11
584,12
585,10
586,10
587,9
588,11
589,10
590,10
591,13
592,9
593,10
594,10
595,8
596,10
597,9
598,10
599,9
600,11
601,12
602,12
603,9
604,13
605,12
606,8
607,9
608,11
609,9
610,13
611,9
612,8
613,10
614,4
615,12
616,11
617,13
618,10
619,11
620,13
621,9
622,6
623,10
624,8
625,7
626,10
627,7
628,12
629,9
630,10
631,10
632,9
633,7
634,10
635,9
636,7
637,10
638,9
639,10
640,7
641,11
642,12
643,9
