input_file,alpha,pcrc,pcrp,sampling_ratio,subs_rate,rs,total_oligos,total_reads,mean_coverage,%_oligo_recovery_rate,dropout_rate,decoded_successfully
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,591,0.92,58.07,41.93,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,645,1.0,59.16,40.84,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,645,1.0,59.32,40.68,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,934,1.45,71.74,28.26,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,1009,1.57,75.62,24.38,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,963,1.5,74.07,25.93,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,1317,2.05,82.92,17.08,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,1302,2.02,83.07,16.93,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,1302,2.02,79.97,20.03,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,1613,2.5,87.89,12.11,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,1569,2.44,86.65,13.35,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,1704,2.65,88.66,11.34,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,1932,3.0,91.46,8.54,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,1931,3.0,91.77,8.23,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,2014,3.13,93.01,6.99,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,2248,3.49,94.1,5.9,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,2273,3.53,92.55,7.45,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,2300,3.57,95.96,4.04,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,2556,3.97,94.57,5.43,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,2645,4.11,95.5,4.5,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,2654,4.12,96.43,3.57,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,2844,4.42,95.5,4.5,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,2877,4.47,96.89,3.11,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,2891,4.49,97.2,2.8,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,3192,4.96,97.52,2.48,Yes
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,3226,5.01,96.43,3.57,Yes
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,3268,5.07,97.67,2.33,Yes
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,3474,5.39,98.6,1.4,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,3541,5.5,97.98,2.02,No
lena.jpg,0.5,12,0.8,0.01,0.0035,0,644,3596,5.58,97.67,2.33,Yes
