oligo_index,total_copies
0,3467
1,14570
2,11448
3,4887
4,8151
5,5473
6,10571
7,6506
8,12239
9,1448
10,4641
11,8008
12,10340
13,8898
14,6908
15,8364
16,3821
17,6186
18,8863
19,12991
20,3767
21,9772
22,6101
23,8896
24,13072
25,3394
26,7007
27,6000
28,9923
29,5395
30,8853
31,6414
32,9221
33,7491
34,7429
35,6762
36,7142
37,8050
38,6150
39,6155
40,8776
41,5472
42,6341
43,8477
44,8404
45,15513
46,11194
47,9802
48,3705
49,8021
50,7045
51,4679
52,3519
53,13478
54,2955
55,5244
56,6772
57,7074
58,12616
59,8991
60,6695
61,7872
62,4625
63,8961
64,14707
65,5307
66,4578
67,4203
68,10059
69,3251
70,5432
71,9490
72,8729
73,6558
74,4126
75,7402
76,7941
77,8907
78,14368
79,7590
80,7352
81,3686
82,13099
83,10129
84,7369
85,8866
86,9798
87,11380
88,6389
89,11540
90,11344
91,3231
92,8040
93,8105
94,3422
95,5553
96,7855
97,4606
98,8440
99,12067
100,3825
101,10963
102,12606
103,8331
104,7312
105,3991
106,10816
107,5433
108,12837
109,12696
110,9654
111,11381
112,4627
113,6431
114,13808
115,9058
116,6898
117,7687
118,8453
119,13836
120,5366
121,11964
122,12492
123,8306
124,6375
125,10155
126,11732
127,9041
128,11164
129,5196
130,1766
131,12037
132,8690
133,6532
134,6759
135,7115
136,6846
137,7922
138,6208
139,5196
140,4808
141,6532
142,7214
143,3840
144,6213
145,8566
146,5251
147,5546
148,5918
149,6403
150,3702
151,3577
152,2625
153,7381
154,8302
155,10626
156,6624
157,6481
158,7966
159,8500
160,3247
161,6820
162,5665
163,10716
164,10824
165,13099
166,6443
167,3658
168,7866
169,12676
170,5905
171,6359
172,8555
173,11173
174,16872
175,12447
176,7264
177,10187
178,7786
179,8335
180,7975
181,11175
182,5121
183,9849
184,14419
185,7095
186,10662
187,8887
188,9625
189,9161
190,5927
191,12067
192,5571
193,8174
194,4389
195,2842
196,12048
197,5298
198,3687
199,8621
200,16452
201,8780
202,6902
203,9834
204,7058
205,7674
206,3724
207,10559
208,4398
209,4139
210,9813
211,6054
212,7473
213,4993
214,2274
215,6893
216,4517
217,6550
218,8150
219,10239
220,2859
221,9592
222,10214
223,9981
224,7622
225,6683
226,11498
227,8027
228,10893
229,11077
230,8995
231,4939
232,9743
233,8133
234,12167
235,6737
236,7328
237,8462
238,2152
239,8451
240,6155
241,7862
242,10641
243,18912
244,8139
245,3991
246,10787
247,4510
248,13786
249,12005
250,4194
251,8159
252,4290
253,7187
254,6091
255,3754
256,4940
257,7264
258,6253
259,5106
260,7126
261,5293
262,13429
263,6801
264,6319
265,10802
266,5782
267,11779
268,8480
269,10202
270,7581
271,6429
272,9292
273,9578
274,11162
275,5108
276,9954
277,11933
278,4751
279,6591
280,10845
281,5923
282,6811
283,4495
284,10904
285,12872
286,8859
287,6501
288,2552
289,8700
290,4760
291,5599
292,8746
293,11944
294,6928
295,8086
296,7192
297,5843
298,10696
299,10006
300,12173
301,7481
302,4433
303,6044
304,7894
305,3609
306,5858
307,7607
308,6945
309,7597
310,7023
311,7622
312,13783
313,9970
314,4176
315,6724
316,6921
317,5273
318,5237
319,13151
320,8154
321,13541
322,8596
323,11652
324,3745
325,10604
326,5946
327,5331
328,10017
329,3033
330,6608
331,4351
332,11362
333,8753
334,6452
335,5003
336,11220
337,6368
338,7597
339,11286
340,6979
341,12537
342,5963
343,12338
344,15511
345,8443
346,9620
347,5581
348,9144
349,8873
350,12652
351,6676
352,3734
353,6852
354,8100
355,7057
356,8469
357,7869
358,13950
359,5144
360,7603
361,9384
362,8141
363,7960
364,6248
365,9135
366,11659
367,5238
368,6044
369,7746
370,5052
371,10932
372,10433
373,8870
374,3473
375,8168
376,10081
377,6593
378,7747
379,5945
380,14307
381,5899
382,11821
383,10765
384,7828
385,6911
386,9821
387,11094
388,4758
389,11290
390,6396
391,16038
392,3523
393,5704
394,6099
395,6356
396,7725
397,7260
398,13794
399,12098
400,8163
401,10156
402,8392
403,3377
404,7430
405,5561
406,5315
407,3149
408,9014
409,4870
410,9313
411,12601
412,7686
413,8331
414,4139
415,11244
416,6535
417,10445
418,8749
419,9336
420,6294
421,9564
422,14109
423,7223
424,9686
425,10625
426,7056
427,7578
428,5581
429,11031
430,7478
431,9007
432,9841
433,12628
434,5658
435,11087
436,5623
437,12051
438,16361
439,7990
440,7613
441,11984
442,6392
443,8292
444,5048
445,5660
446,6578
447,5708
448,1374
449,11088
450,5696
451,7311
452,10701
453,7213
454,5347
455,11493
456,6595
457,9036
458,3399
459,5153
460,10857
461,11075
462,3058
463,6023
464,8615
465,3432
466,10422
467,7447
468,6005
469,7705
470,7931
471,1515
472,2851
473,7161
474,9431
475,16278
476,6006
477,5857
478,7884
479,9803
480,14205
481,6725
482,9733
483,4790
484,1617
485,8434
486,5426
487,4322
488,5375
489,7100
490,10571
491,9311
492,13117
493,9766
494,12780
495,6287
496,5976
497,11089
498,6731
499,4147
500,6244
501,7864
502,7646
503,9595
504,3080
505,9341
506,5701
507,7081
508,5882
509,9365
510,7813
511,13628
512,10490
513,5462
514,11865
515,6364
516,10842
517,10390
518,11956
519,9017
520,10537
521,8240
522,14138
523,9240
524,8570
525,6638
526,8508
527,7852
528,9672
529,3858
530,10688
531,3877
532,12671
533,4383
534,6128
535,8501
536,4535
537,6648
538,9044
539,10801
540,11154
541,10266
542,4519
543,7985
544,7428
545,5724
546,10151
547,9790
548,11102
549,9168
550,6383
551,8036
552,4685
553,7894
554,2159
555,9307
556,8808
557,6620
558,6199
559,13166
560,7773
561,6540
562,9728
563,8552
564,7064
565,4763
566,10926
567,10906
568,9544
569,4077
570,7120
571,9854
572,9755
573,5172
574,11698
575,9922
576,8078
577,11684
578,5530
579,11713
580,8553
581,5511
582,9250
583,9390
584,9012
585,4697
586,12113
587,7586
588,7333
589,14666
590,5114
591,2619
592,11500
593,4964
594,5574
595,7417
596,7780
597,3646
598,11344
599,6605
600,11593
601,6294
602,5656
603,8922
604,8018
605,5592
606,6784
607,11469
608,10632
609,3794
610,5617
611,12673
612,7178
613,3715
614,12414
615,5142
616,5959
617,8916
618,5625
619,15246
620,7904
621,12655
622,6332
623,6888
624,3492
625,8192
626,9252
627,6008
628,8768
629,5533
630,6617
631,4554
632,7639
633,6159
634,5233
635,5191
636,9371
637,10017
638,4192
639,7371
640,7448
641,8003
642,4300
643,3459
644,7756
645,7699
646,646
647,6544
648,13229
649,6856
650,10661
651,6057
652,6525
653,12883
654,2047
655,7449
656,10124
657,3549
658,6573
659,9076
660,4903
661,8285
662,9614
663,5977
664,8253
665,10737
666,10226
667,4454
668,7055
669,12571
670,2133
671,5436
672,9626
673,5995
674,7297
675,4510
676,6600
677,11464
678,3014
679,8152
680,8195
681,9168
682,12891
683,4834
684,6897
685,14876
686,8982
687,8615
688,7442
689,6043
690,8943
691,10466
692,5673
693,5760
694,9658
695,9347
696,9122
697,10616
698,10330
699,8496
700,11529
701,10906
702,7112
703,9996
704,6782
705,5228
706,5722
707,7384
708,6022
709,11651
710,5965
711,8347
712,4855
713,5598
714,9046
715,10753
716,7468
717,7331
718,4760
719,10587
720,7400
721,8426
722,11650
723,13221
724,7542
725,10226
726,10419
727,10182
728,5234
729,7613
