oligo_index,total_copies
0,3344
1,0
2,1191
3,1396
4,1831
5,469
6,1089
7,1121
8,2352
9,1966
10,3106
11,4109
12,1059
13,5277
14,0
15,405
16,3866
17,0
18,1114
19,405
20,8042
21,2053
22,3991
23,0
24,7723
25,0
26,6827
27,1888
28,4730
29,1075
30,4740
31,1332
32,0
33,6568
34,5920
35,1558
36,5276
37,3572
38,0
39,2102
40,1403
41,0
42,1099
43,4055
44,1135
45,995
46,2664
47,3350
48,967
49,3472
50,2549
51,899
52,1052
53,7115
54,2327
55,2265
56,2515
57,2929
58,6346
59,2376
60,1676
61,3687
62,1671
63,1018
64,3988
65,1431
66,1798
67,2334
68,3824
69,0
70,4373
71,6259
72,1219
73,2317
74,894
75,2585
76,1092
77,1310
78,1970
79,2613
80,5885
81,1998
82,2108
83,4468
84,2518
85,1627
86,3728
87,1003
88,0
89,1877
90,2889
91,5408
92,0
93,978
94,605
95,4518
96,0
97,4744
98,0
99,1198
100,2552
101,0
102,3282
103,1002
104,1589
105,2029
106,6213
107,5840
108,5497
109,0
110,1344
111,2891
112,1475
113,5554
114,3538
115,4291
116,1651
117,0
118,2114
119,3937
120,4629
121,0
122,3465
123,2931
124,1347
125,2841
126,0
127,5825
128,1316
129,0
130,3870
131,3345
132,5318
133,5005
134,4164
135,841
136,1323
137,3574
138,2400
139,1656
140,2400
141,884
142,2061
143,2367
144,3316
145,4073
146,3578
147,2780
148,0
149,610
150,3704
151,2875
152,1331
153,1957
154,3641
155,3168
156,1447
157,0
158,0
159,3641
160,2113
161,4649
162,2325
163,2276
164,3163
165,1015
166,2645
167,1327
168,2531
169,3221
170,7282
171,1174
172,0
173,1956
174,2246
175,2494
176,3326
177,2264
178,4575
179,1352
180,1082
181,2802
182,2990
183,988
184,5975
185,0
186,728
187,2770
188,0
189,6299
190,1075
191,3192
192,5642
193,2205
194,2509
195,1438
196,4611
197,1346
198,937
199,0
200,792
201,2395
202,2076
203,2615
204,1637
205,1915
206,2440
207,0
208,1657
209,1005
210,3267
211,1353
212,1858
213,2189
214,1541
215,3069
216,7966
217,1505
218,2301
219,0
220,5657
221,1281
222,4385
223,1637
224,3764
225,3811
226,1418
227,1747
228,1813
229,4036
230,2612
231,1880
232,1446
233,1231
234,7311
235,2421
236,1986
237,3293
238,0
239,2544
240,886
241,0
242,1074
243,1276
244,1689
245,1603
246,6567
247,1132
248,0
249,2242
250,2726
251,3100
252,0
253,4543
254,897
255,0
256,1824
257,1523
258,4212
259,8243
260,1977
261,1269
262,3304
263,4745
264,774
265,1236
266,3535
267,2402
268,2918
269,834
270,4556
271,6461
272,3078
273,1180
274,5385
275,612
276,9968
277,4604
278,1529
279,1514
280,2126
281,2345
282,3575
283,0
284,830
285,4045
286,2632
287,6137
288,3573
289,4043
290,751
291,5022
292,0
293,4342
294,591
295,2822
296,1195
297,2611
298,1675
299,1853
300,2681
301,0
302,1157
303,1705
304,1991
305,490
306,1210
307,1022
308,1460
309,3078
310,2253
311,0
312,2194
313,1711
314,1408
315,3658
316,2924
317,0
318,0
319,750
320,3269
321,875
322,0
323,4103
324,2596
325,3399
326,689
327,3215
328,7105
329,2616
330,3758
331,1659
332,2921
333,6750
334,4278
335,2826
336,3563
337,4505
338,1879
339,0
340,3100
341,1732
342,1890
343,4603
344,2845
345,2871
346,3594
347,3269
348,1574
349,744
350,422
351,4621
352,946
353,6324
354,3184
355,5265
356,1805
357,938
358,2249
359,4548
360,0
361,3269
362,0
363,3938
364,1382
365,1455
366,2841
367,0
368,0
369,0
370,2868
371,0
372,5277
373,2115
374,1698
375,4064
376,3917
377,5199
378,0
379,805
380,373
381,2488
382,4078
383,2384
384,0
385,717
386,0
387,5137
388,6645
389,1505
390,1827
391,6659
392,0
393,5339
394,0
395,3664
396,2496
397,4140
398,4827
399,5299
400,3617
401,1278
402,1051
403,1788
404,2179
405,4328
406,768
407,0
408,4941
409,3576
410,672
411,3962
412,2534
413,1625
414,697
415,2611
416,4786
417,1737
418,1964
419,988
420,1172
421,0
422,1017
423,1854
424,4377
425,3786
426,2478
427,5481
428,3161
429,2027
430,4428
431,3311
432,688
433,2618
434,4008
435,1070
436,613
437,1704
438,1932
439,3811
440,3004
441,2495
442,5294
443,4185
444,2639
445,7091
446,3693
447,3595
448,1565
449,3432
450,2083
451,3581
452,2365
453,2988
454,2486
455,4814
456,1321
457,0
458,4717
459,2129
460,9610
461,2651
462,2275
463,3645
464,3675
465,4865
466,982
467,2360
468,1165
469,3261
470,2513
471,1096
472,1041
473,8272
474,456
475,721
476,3207
477,1092
478,3682
479,850
480,2905
481,1924
482,0
483,5457
484,3380
485,0
486,1335
487,5439
488,2778
489,1925
490,1995
491,4782
492,758
493,2106
494,1152
495,3253
496,2964
497,391
498,145
499,1329
500,3064
501,0
502,1786
503,608
504,4107
505,528
506,4547
507,1359
508,6876
509,3922
510,2853
511,0
512,3361
513,1396
514,5558
515,6744
516,0
517,2963
518,1248
519,1739
520,939
521,1505
522,5537
523,1511
524,792
525,936
526,6845
527,1230
528,0
529,7155
530,4073
531,4064
532,4481
533,2891
534,3889
535,2484
536,415
537,8482
538,0
539,0
540,2425
541,0
542,1289
543,2936
544,7101
545,4212
546,3545
547,5288
548,3236
549,4901
550,3507
551,6053
552,962
553,3810
554,3505
555,0
556,6196
557,2313
558,0
559,979
560,5226
561,1291
562,2070
563,4580
564,4035
565,5646
566,3798
567,0
568,3121
569,3513
570,1218
571,1174
572,5106
573,255
574,0
575,2451
576,0
577,3406
578,1958
579,5819
580,7155
581,2957
582,3763
583,2648
584,1811
585,904
586,1588
587,3452
588,4827
589,5248
590,1233
591,3583
592,3009
593,1212
594,1196
595,3323
596,3850
597,0
598,2389
599,2233
600,3336
601,0
602,0
603,2715
604,2134
605,2988
606,4886
607,3148
608,1711
609,6702
610,1878
611,3449
612,1481
613,1649
614,1057
615,4641
616,3611
617,2822
618,1183
619,2832
620,4291
621,3144
622,0
623,3853
624,491
625,3327
626,1967
627,2760
628,5277
629,4947
630,0
631,2397
632,1965
633,3214
634,3515
635,4498
636,1420
637,1442
638,2196
639,2018
640,3231
641,1192
642,2829
643,2007
644,2034
645,2336
646,4739
647,0
648,4423
649,1649
650,2164
651,2328
652,1286
653,4000
654,0
655,1362
656,1162
657,0
658,0
659,2764
660,1781
661,6822
662,3357
663,1723
664,958
665,4466
666,3212
667,6707
668,6317
669,2216
670,0
671,2774
672,0
673,5105
674,1526
675,3679
676,4337
677,3141
678,3722
679,4913
680,0
681,0
682,743
683,2448
684,0
685,1876
686,1633
687,0
688,5254
689,2240
690,3477
691,1658
692,1740
693,5379
694,1941
695,2221
696,1096
697,4463
698,2316
699,1397
700,3034
701,4299
702,1494
703,1177
704,0
705,3767
706,1121
707,5612
708,4473
709,3043
710,3541
711,4711
712,2348
713,789
714,3677
715,1140
716,2498
717,2848
718,2756
719,2846
720,3112
721,1978
722,0
723,1855
724,4820
725,0
726,1923
727,0
728,3460
729,3665
730,3692
731,1885
732,625
733,1544
734,945
735,1512
736,4713
737,6012
738,875
739,7808
740,5474
741,998
742,3672
743,5125
744,2691
745,2230
746,2718
747,4043
748,3082
749,513
750,4799
751,4790
752,7181
753,946
754,2990
755,3740
756,0
757,1995
758,2671
759,2047
760,3054
761,3421
762,864
763,6081
764,636
765,3397
766,2568
767,800
768,5059
769,0
770,5209
771,2928
772,3826
773,3278
774,2370
775,5234
776,0
777,3909
778,3337
779,1019
780,1694
781,555
782,1721
783,2641
784,4700
785,4648
786,7002
787,1894
788,4780
789,4499
790,0
791,1215
792,964
793,5962
794,1856
795,3453
796,4628
797,0
798,4670
799,7657
800,1826
801,246
802,757
803,733
804,4096
805,4135
806,4554
807,1316
808,580
809,0
810,1371
811,2480
812,3513
813,2506
814,1762
815,1918
