oligo_index,total_copies
0,4
1,19
2,16
3,6
4,7
5,13
6,18
7,12
8,14
9,4
10,2
11,11
12,17
13,11
14,11
15,11
16,0
17,6
18,11
19,19
20,6
21,13
22,5
23,13
24,8
25,4
26,17
27,5
28,15
29,4
30,10
31,7
32,11
33,9
34,11
35,9
36,12
37,9
38,9
39,6
40,11
41,5
42,12
43,9
44,16
45,17
46,11
47,13
48,7
49,19
50,8
51,9
52,7
53,19
54,4
55,4
56,9
57,6
58,7
59,6
60,8
61,17
62,7
63,13
64,20
65,4
66,10
67,4
68,13
69,6
70,8
71,13
72,5
73,10
74,5
75,10
76,7
77,14
78,17
79,9
80,5
81,3
82,15
83,11
84,11
85,8
86,16
87,18
88,10
89,19
90,14
91,3
92,9
93,6
94,4
95,9
96,8
97,6
98,13
99,10
100,5
101,14
102,14
103,16
104,11
105,3
106,14
107,5
108,21
109,15
110,11
111,16
112,2
113,10
114,15
115,9
116,7
117,12
118,11
119,19
120,1
121,18
122,8
123,11
124,5
125,11
126,21
127,9
128,14
129,7
130,2
131,14
132,10
133,11
134,14
135,10
136,16
137,8
138,3
139,2
140,6
141,9
142,14
143,3
144,8
145,7
146,7
147,7
148,11
149,5
150,1
151,4
152,1
153,9
154,8
155,11
156,8
157,7
158,11
159,11
160,5
161,9
162,11
163,12
164,12
165,17
166,3
167,6
168,12
169,17
170,5
171,8
172,4
173,12
174,23
175,9
176,14
177,14
178,9
179,7
180,11
181,19
182,10
183,9
184,16
185,10
186,10
187,9
188,7
189,9
190,8
191,22
192,3
193,6
194,3
195,9
196,10
197,9
198,6
199,15
200,26
201,8
202,9
203,2
204,3
205,14
206,7
207,14
208,5
209,3
210,13
211,7
212,10
213,5
214,9
215,7
216,7
217,5
218,6
219,17
220,3
221,15
222,7
223,5
224,12
225,9
226,12
227,16
228,14
229,18
230,14
231,5
232,6
233,14
234,17
235,6
236,10
237,10
238,2
239,9
240,11
241,9
242,9
243,29
244,12
245,7
246,16
247,1
248,19
249,11
250,5
251,14
252,4
253,3
254,4
255,6
256,6
257,4
258,9
259,5
260,12
261,8
262,19
263,5
264,9
265,16
266,6
267,14
268,17
269,8
270,8
271,9
272,19
273,9
274,13
275,6
276,20
277,20
278,6
279,6
280,11
281,5
282,8
283,6
284,16
285,15
286,5
287,4
288,5
289,7
290,5
291,6
292,15
293,14
294,8
295,8
296,6
297,9
298,13
299,10
300,11
301,11
302,5
303,11
304,7
305,10
306,6
307,13
308,3
309,7
310,14
311,13
312,13
313,12
